"";"HP";"Time";"Component";"Animal"
"1";"0.36164325";"0";"O2";"1"
"2";"0.2651286";"5";"O2";"1"
"3";"0.4935334";"10";"O2";"1"
"4";"0.32462755";"15";"O2";"1"
"5";"0.4813431";"20";"O2";"1"
"6";"0.51272235";"25";"O2";"1"
"7";"0.311082";"30";"O2";"1"
"8";"0.448598175";"35";"O2";"1"
"9";"0.448598175";"40";"O2";"1"
"10";"0.381091666666667";"45";"O2";"1"
"11";"0.337613625";"50";"O2";"1"
"12";"0.268042966666667";"55";"O2";"1"
"13";"0.282171158333333";"60";"O2";"1"
"14";"0.3541164";"65";"O2";"1"
"15";"0.282002041666667";"70";"O2";"1"
"16";"0.27702005";"75";"O2";"1"
"17";"0.2594713";"80";"O2";"1"
"18";"0.2888976";"85";"O2";"1"
"19";"0.259831541666667";"90";"O2";"1"
"20";"0.251237866666667";"95";"O2";"1"
"21";"0.251237866666667";"100";"O2";"1"
"22";"0.26428765";"105";"O2";"1"
"23";"0.24047";"110";"O2";"1"
"24";"0.24047";"115";"O2";"1"
"25";"0.287352383333333";"120";"O2";"1"
"26";"0.38185385";"125";"O2";"1"
"27";"0.37251305";"130";"O2";"1"
"28";"0.266625166666667";"135";"O2";"1"
"29";"0.389096908333333";"140";"O2";"1"
"30";"0.361367566666667";"145";"O2";"1"
"31";"0.267019";"150";"O2";"1"
"32";"0.329669775";"155";"O2";"1"
"33";"0.419059516666667";"160";"O2";"1"
"34";"0.2745806";"165";"O2";"1"
"35";"0.415550925";"170";"O2";"1"
"36";"0.25756005";"175";"O2";"1"
"37";"0.338105916666667";"180";"O2";"1"
"38";"0.29957975";"185";"O2";"1"
"39";"0.235232016666667";"190";"O2";"1"
"40";"0.3338363";"195";"O2";"1"
"41";"0.273084033333333";"200";"O2";"1"
"42";"0.232703375";"205";"O2";"1"
"43";"0.268059183333333";"210";"O2";"1"
"44";"0.220806133333333";"215";"O2";"1"
"45";"0.283791666666667";"220";"O2";"1"
"46";"0.363869566666667";"225";"O2";"1"
"47";"0.3420095";"230";"O2";"1"
"48";"0.26703985";"235";"O2";"1"
"49";"0.285049616666667";"240";"O2";"1"
"50";"0.322664175";"245";"O2";"1"
"51";"0.291303458333333";"250";"O2";"1"
"52";"0.352077733333333";"255";"O2";"1"
"53";"0.2980716";"260";"O2";"1"
"54";"0.3478614";"265";"O2";"1"
"55";"0.3958581";"270";"O2";"1"
"56";"0.357786";"275";"O2";"1"
"57";"0.36112895";"280";"O2";"1"
"58";"0.333296516666667";"285";"O2";"1"
"59";"0.289243941666667";"290";"O2";"1"
"60";"0.399011083333333";"295";"O2";"1"
"61";"0.403215833333333";"300";"O2";"1"
"62";"0.314514141666667";"305";"O2";"1"
"63";"0.3724505";"310";"O2";"1"
"64";"0.2952777";"315";"O2";"1"
"65";"0.403738241666667";"320";"O2";"1"
"66";"0.307265291666667";"325";"O2";"1"
"67";"0.307265291666667";"330";"O2";"1"
"68";"0.382174708333333";"335";"O2";"1"
"69";"0.382174708333333";"340";"O2";"1"
"70";"0.307265291666667";"345";"O2";"1"
"71";"0.441272875";"350";"O2";"1"
"72";"0.3485286";"355";"O2";"1"
"73";"0.30878155";"360";"O2";"1"
"74";"0.466924166666667";"365";"O2";"1"
"75";"0.3071761";"370";"O2";"1"
"76";"0.385586";"375";"O2";"1"
"77";"0.417657933333333";"380";"O2";"1"
"78";"0.430110016666667";"385";"O2";"1"
"79";"0.453936933333333";"390";"O2";"1"
"80";"0.453936933333333";"395";"O2";"1"
"81";"0.340567375";"400";"O2";"1"
"82";"0.340567375";"405";"O2";"1"
"83";"0.448888916666667";"410";"O2";"1"
"84";"0.448888916666667";"415";"O2";"1"
"85";"0.383385166666667";"420";"O2";"1"
"86";"0.438090933333333";"425";"O2";"1"
"87";"0.36164325";"0";"CO2";"1"
"88";"0.2651286";"5";"CO2";"1"
"89";"0.4935334";"10";"CO2";"1"
"90";"0.32462755";"15";"CO2";"1"
"91";"0.4813431";"20";"CO2";"1"
"92";"0.51272235";"25";"CO2";"1"
"93";"0.311082";"30";"CO2";"1"
"94";"0.448598175";"35";"CO2";"1"
"95";"0.448598175";"40";"CO2";"1"
"96";"0.381091666666667";"45";"CO2";"1"
"97";"0.337613625";"50";"CO2";"1"
"98";"0.268042966666667";"55";"CO2";"1"
"99";"0.282171158333333";"60";"CO2";"1"
"100";"0.3538106";"65";"CO2";"1"
"101";"0.282002041666667";"70";"CO2";"1"
"102";"0.27702005";"75";"CO2";"1"
"103";"0.2594713";"80";"CO2";"1"
"104";"0.2888976";"85";"CO2";"1"
"105";"0.312564666666667";"90";"CO2";"1"
"106";"0.251237866666667";"95";"CO2";"1"
"107";"0.251237866666667";"100";"CO2";"1"
"108";"0.26428765";"105";"CO2";"1"
"109";"0.24047";"110";"CO2";"1"
"110";"0.24047";"115";"CO2";"1"
"111";"0.287352383333333";"120";"CO2";"1"
"112";"0.412552";"125";"CO2";"1"
"113";"0.37251305";"130";"CO2";"1"
"114";"0.266625166666667";"135";"CO2";"1"
"115";"0.389096908333333";"140";"CO2";"1"
"116";"0.361367566666667";"145";"CO2";"1"
"117";"0.267019";"150";"CO2";"1"
"118";"0.329669775";"155";"CO2";"1"
"119";"0.419059516666667";"160";"CO2";"1"
"120";"0.2745806";"165";"CO2";"1"
"121";"0.415550925";"170";"CO2";"1"
"122";"0.25756005";"175";"CO2";"1"
"123";"0.338105916666667";"180";"CO2";"1"
"124";"0.29957975";"185";"CO2";"1"
"125";"0.235232016666667";"190";"CO2";"1"
"126";"0.339385875";"195";"CO2";"1"
"127";"0.273084033333333";"200";"CO2";"1"
"128";"0.232703375";"205";"CO2";"1"
"129";"0.268059183333333";"210";"CO2";"1"
"130";"0.220806133333333";"215";"CO2";"1"
"131";"0.283791666666667";"220";"CO2";"1"
"132";"0.363869566666667";"225";"CO2";"1"
"133";"0.3474722";"230";"CO2";"1"
"134";"0.26703985";"235";"CO2";"1"
"135";"0.285049616666667";"240";"CO2";"1"
"136";"0.322664175";"245";"CO2";"1"
"137";"0.291303458333333";"250";"CO2";"1"
"138";"0.352077733333333";"255";"CO2";"1"
"139";"0.2980716";"260";"CO2";"1"
"140";"0.3478614";"265";"CO2";"1"
"141";"0.3958581";"270";"CO2";"1"
"142";"0.357786";"275";"CO2";"1"
"143";"0.36112895";"280";"CO2";"1"
"144";"0.333296516666667";"285";"CO2";"1"
"145";"0.289243941666667";"290";"CO2";"1"
"146";"0.399011083333333";"295";"CO2";"1"
"147";"0.403215833333333";"300";"CO2";"1"
"148";"0.314514141666667";"305";"CO2";"1"
"149";"0.3724505";"310";"CO2";"1"
"150";"0.2952777";"315";"CO2";"1"
"151";"0.403738241666667";"320";"CO2";"1"
"152";"0.307265291666667";"325";"CO2";"1"
"153";"0.307265291666667";"330";"CO2";"1"
"154";"0.382174708333333";"335";"CO2";"1"
"155";"0.382174708333333";"340";"CO2";"1"
"156";"0.307265291666667";"345";"CO2";"1"
"157";"0.441272875";"350";"CO2";"1"
"158";"0.3485286";"355";"CO2";"1"
"159";"0.30878155";"360";"CO2";"1"
"160";"0.466924166666667";"365";"CO2";"1"
"161";"0.3071761";"370";"CO2";"1"
"162";"0.385586";"375";"CO2";"1"
"163";"0.417657933333333";"380";"CO2";"1"
"164";"0.430110016666667";"385";"CO2";"1"
"165";"0.453936933333333";"390";"CO2";"1"
"166";"0.453936933333333";"395";"CO2";"1"
"167";"0.340567375";"400";"CO2";"1"
"168";"0.340567375";"405";"CO2";"1"
"169";"0.404953333333333";"410";"CO2";"1"
"170";"0.448888916666667";"415";"CO2";"1"
"171";"0.3171285";"420";"CO2";"1"
"172";"0.438090933333333";"425";"CO2";"1"
"173";"0.408622933333333";"0";"O2";"17"
"174";"0.3391878";"5";"O2";"17"
"175";"0.34807685";"10";"O2";"17"
"176";"0.3634155";"15";"O2";"17"
"177";"0.286906425";"20";"O2";"17"
"178";"0.3311119";"25";"O2";"17"
"179";"0.314579008333333";"30";"O2";"17"
"180";"0.3228414";"35";"O2";"17"
"181";"0.281924433333333";"40";"O2";"17"
"182";"0.306929375";"45";"O2";"17"
"183";"0.299631875";"50";"O2";"17"
"184";"0.302494116666667";"55";"O2";"17"
"185";"0.3435663";"60";"O2";"17"
"186";"0.357650475";"65";"O2";"17"
"187";"0.37768385";"70";"O2";"17"
"188";"0.364396608333333";"75";"O2";"17"
"189";"0.356594075";"80";"O2";"17"
"190";"0.35009235";"85";"O2";"17"
"191";"0.3372418";"90";"O2";"17"
"192";"0.261412666666667";"95";"O2";"17"
"193";"0.31570375";"100";"O2";"17"
"194";"0.372405325";"105";"O2";"17"
"195";"0.334380716666667";"110";"O2";"17"
"196";"0.334380716666667";"115";"O2";"17"
"197";"0.322566875";"120";"O2";"17"
"198";"0.322566875";"125";"O2";"17"
"199";"0.295968066666667";"130";"O2";"17"
"200";"0.31233995";"135";"O2";"17"
"201";"0.316069783333333";"140";"O2";"17"
"202";"0.306755625";"145";"O2";"17"
"203";"0.3471664";"150";"O2";"17"
"204";"0.3050355";"155";"O2";"17"
"205";"0.33849975";"160";"O2";"17"
"206";"0.30110875";"165";"O2";"17"
"207";"0.370425733333333";"170";"O2";"17"
"208";"0.4217955";"175";"O2";"17"
"209";"0.3375337";"180";"O2";"17"
"210";"0.284391683333333";"185";"O2";"17"
"211";"0.284391683333333";"190";"O2";"17"
"212";"0.456681025";"195";"O2";"17"
"213";"0.278602333333333";"200";"O2";"17"
"214";"0.297351116666667";"205";"O2";"17"
"215";"0.472107708333333";"210";"O2";"17"
"216";"0.270878566666667";"215";"O2";"17"
"217";"0.29957975";"220";"O2";"17"
"218";"0.29957975";"225";"O2";"17"
"219";"0.40608155";"230";"O2";"17"
"220";"0.323314";"235";"O2";"17"
"221";"0.346566383333333";"240";"O2";"17"
"222";"0.372343933333333";"245";"O2";"17"
"223";"0.405961083333333";"250";"O2";"17"
"224";"0.4611186";"255";"O2";"17"
"225";"0.435127916666667";"260";"O2";"17"
"226";"0.472033575";"265";"O2";"17"
"227";"0.335481133333333";"270";"O2";"17"
"228";"0.419484625";"275";"O2";"17"
"229";"0.3842655";"280";"O2";"17"
"230";"0.3865312";"285";"O2";"17"
"231";"0.320719333333333";"290";"O2";"17"
"232";"0.3923553";"295";"O2";"17"
"233";"0.269300916666667";"300";"O2";"17"
"234";"0.368720666666667";"305";"O2";"17"
"235";"0.274382525";"310";"O2";"17"
"236";"0.3381175";"315";"O2";"17"
"237";"0.28964125";"320";"O2";"17"
"238";"0.2404005";"325";"O2";"17"
"239";"0.32109";"330";"O2";"17"
"240";"0.269115583333333";"335";"O2";"17"
"241";"0.346369466666667";"340";"O2";"17"
"242";"0.302238125";"345";"O2";"17"
"243";"0.264566808333333";"350";"O2";"17"
"244";"0.303454375";"355";"O2";"17"
"245";"0.2713975";"360";"O2";"17"
"246";"0.2666576";"365";"O2";"17"
"247";"0.2613061";"370";"O2";"17"
"248";"0.2613061";"375";"O2";"17"
"249";"0.32526";"380";"O2";"17"
"250";"0.355563158333333";"385";"O2";"17"
"251";"0.326464666666667";"390";"O2";"17"
"252";"0.28181555";"395";"O2";"17"
"253";"0.3148767";"400";"O2";"17"
"254";"0.326186666666667";"405";"O2";"17"
"255";"0.3280956";"410";"O2";"17"
"256";"0.2484625";"415";"O2";"17"
"257";"0.3175038";"420";"O2";"17"
"258";"0.2727041";"425";"O2";"17"
"259";"0.408622933333333";"0";"CO2";"17"
"260";"0.3391878";"5";"CO2";"17"
"261";"0.34807685";"10";"CO2";"17"
"262";"0.3634155";"15";"CO2";"17"
"263";"0.286906425";"20";"CO2";"17"
"264";"0.3311119";"25";"CO2";"17"
"265";"0.314579008333333";"30";"CO2";"17"
"266";"0.300843491666667";"35";"CO2";"17"
"267";"0.281924433333333";"40";"CO2";"17"
"268";"0.306929375";"45";"CO2";"17"
"269";"0.299631875";"50";"CO2";"17"
"270";"0.302494116666667";"55";"CO2";"17"
"271";"0.3435663";"60";"CO2";"17"
"272";"0.357650475";"65";"CO2";"17"
"273";"0.37768385";"70";"CO2";"17"
"274";"0.364396608333333";"75";"CO2";"17"
"275";"0.356594075";"80";"CO2";"17"
"276";"0.35009235";"85";"CO2";"17"
"277";"0.3372418";"90";"CO2";"17"
"278";"0.261412666666667";"95";"CO2";"17"
