20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
546;30401338;26.2;Adipoq WT;male;Individual;
552;30296991;21.0;Adipoq WT;female;Individual;
551;30398600;22.8;Adipoq WT;female;Individual;
549;30262145;31.0;Adipoq WT;male;Individual;
550;30400692;20.9;Adipoq WT;female;Individual;
547;30302237;20.7;Adipoq WT;female;Individual;
548;30334547;29.7;Adipoq WT;male;Individual;
5;39;31.16;Adipoq KO;male;Individual;
2;24;29.88;Adipoq KO;male;Individual;
13;43;30.44;Adipoq KO;male;Individual;
0;38;33.51;Adipoq KO;male;Individual;
7;23;32.65;Adipoq KO;male;Individual;
1;42;30.04;Adipoq KO;male;Individual;
3;37;32.77;Adipoq KO;male;Individual;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
04/10/2015;15:27;39;male;79,378426;75,47937;31,16
04/10/2015;07:33;42;male;141,51418;146,69592;30,04
03/10/2015;08:17;39;male;114,942116;114,9361;31,16
03/10/2015;13:25;42;male;100,48749;102,59335;30,04
04/10/2015;07:51;23;male;66,53105;67,86819;32,65
03/10/2015;19:23;23;male;47,31991;43,39362;32,65
04/10/2015;06:43;23;male;92,67615;91,2804;32,65
03/10/2015;04:39;23;male;67,94884;62,56666;32,65
03/10/2015;12:01;23;male;114,02018;107,50484;32,65
04/10/2015;00:29;23;male;73,770096;64,27807;32,65
03/10/2015;01:27;38;male;74,79377;64,05252;33,51
04/10/2015;13:13;42;male;102,633644;103,15634;30,04
03/10/2015;17:55;39;male;74,17141;71,661125;31,16
03/10/2015;17:57;42;male;84,35852;84,22642;30,04
04/10/2015;12:59;24;male;93,441666;87,59148;29,88
04/10/2015;10:07;23;male;86,91797;84,7725;32,65
04/10/2015;09:09;37;male;101,45459;93,402565;32,77
03/10/2015;18:29;39;male;103,89153;101,62606;31,16
04/10/2015;06:11;24;male;138,24481;126,614426;29,88
03/10/2015;04:15;37;male;133,80496;120,33921;32,77
04/10/2015;13:47;42;male;87,90306;74,52924;30,04
04/10/2015;04:43;42;male;121,43409;126,27888;30,04
03/10/2015;02:39;42;male;87,72185;86,20348;30,04
03/10/2015;12:37;24;male;125,401436;115,476814;29,88
04/10/2015;05:03;24;male;114,30807;114,01041;29,88
03/10/2015;00:17;37;male;89,18733;79,04767;32,77
03/10/2015;09:57;38;male;88,58705;83,4752;33,51
03/10/2015;09:21;37;male;83,452095;76,55926;32,77
03/10/2015;12:51;42;male;84,43002;84,38094;30,04
03/10/2015;10:55;24;male;117,99694;113,8843;29,88
03/10/2015;08:13;37;male;81,131676;71,088715;32,77
03/10/2015;19:35;38;male;81,394516;76,31239;33,51
03/10/2015;12:19;43;male;97,17285;86,71484;30,44
03/10/2015;01:31;42;male;82,307724;78,816376;30,04
03/10/2015;11:03;37;male;83,5911;80,13714;32,77
04/10/2015;04:07;39;male;156,87773;141,32123;31,16
03/10/2015;04:41;24;male;122,95339;120,00992;29,88
04/10/2015;10:17;37;male;93,10699;86,47028;32,77
03/10/2015;00:43;24;male;77,523125;67,4759;29,88
04/10/2015;13:33;24;male;77,03473;64,20181;29,88
03/10/2015;13:19;37;male;74,818924;67,81603;32,77
