20200508_SD_Ucpdd_K1;Test;TX001;TX002;TX003;;;;;;;;;;;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;;;;;;;;;;;;
Box;Animal No.;Weight [g];Diet;Genotype;Text3;;;;;;;;;;;;
4;2265;26.81;HFD;KO;Text3-4;;;;;;;;;;;;
5;2195;34.98;HFD;WT;Text3-5;;;;;;;;;;;;
7;2262;37.68;HFD;WT;Text3-7;;;;;;;;;;;;
8;2263;36.32;HFD;KO;Text3-8;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Date;Time;Animal No.;Box;S.Flow;Ref.O2;Ref.CO2;Ref.TD;Flow;Temp;O2;CO2;TD;dO2;dCO2;VO2(3);VCO2(3);RER
;;;;[l/min];[%];[%];[°C];[l/min];[°C];[%];[%];[°C];[%];[%];[ml/h];[ml/h];
08.05.2020;10:32;2265;4;0,4;20,78;0,056;-138,605;0,5;29,5;20,63;0,181;-138,605;0,1473;0,1247;46;37;0,814
08.05.2020;10:37;2265;4;0,4;20,77;0,061;-138,606;0,5;29,5;20,65;0,162;-138,606;0,124;0,1017;39;30;0,783
08.05.2020;10:42;2265;4;0,4;20,77;0,061;-138,606;0,5;29,5;20,64;0,164;-138,605;0,1252;0,1026;39;31;0,783
08.05.2020;10:47;2265;4;0,4;20,77;0,063;-138,605;0,51;29,6;20,64;0,167;-138,605;0,1265;0,1041;40;32;0,787
08.05.2020;10:52;2265;4;0,4;20,77;0,062;-138,605;0,5;29,6;20,63;0,181;-138,605;0,1412;0,1189;44;36;0,808
08.05.2020;10:57;2265;4;0,4;20,77;0,06;-138,606;0,5;29,6;20,64;0,17;-138,606;0,1289;0,1105;40;33;0,826
08.05.2020;11:02;2265;4;0,4;20,77;0,058;-138,605;0,5;29,7;20,63;0,171;-138,605;0,14;0,1134;44;34;0,772
08.05.2020;11:07;2265;4;0,4;20,77;0,057;-138,605;0,5;29,7;20,66;0,153;-138,606;0,1191;0,0968;37;29;0,774
08.05.2020;11:12;2265;4;0,4;20,77;0,056;-138,605;0,48;29,7;20,66;0,153;-138,605;0,1166;0,0968;35;28;0,794
08.05.2020;11:17;2265;4;0,4;20,78;0,055;-138,605;0,5;29,7;20,66;0,153;-138,605;0,1203;0,0977;38;29;0,774
08.05.2020;11:22;2265;4;0,4;20,78;0,054;-138,605;0,5;29,7;20,66;0,154;-138,605;0,1179;0,1002;37;30;0,818
08.05.2020;11:27;2265;4;0,4;20,78;0,054;-138,606;0,5;29,5;20,64;0,169;-138,605;0,1351;0,1149;42;34;0,819
08.05.2020;11:32;2265;4;0,4;20,77;0,056;-138,605;0,5;29,4;20,65;0,158;-138,605;0,1228;0,1022;39;31;0,797
08.05.2020;11:37;2265;4;0,4;20,77;0,055;-138,605;0,5;29,3;20,66;0,151;-138,605;0,113;0,0953;35;29;0,81
08.05.2020;11:42;2265;4;0,4;20,78;0,053;-138,605;0,5;29,3;20,66;0,151;-138,605;0,1203;0,0977;38;29;0,774
08.05.2020;11:47;2265;4;0,4;20,78;0,052;-138,606;0,5;29,3;20,65;0,151;-138,605;0,124;0,0987;39;30;0,756
08.05.2020;11:52;2265;4;0,4;20,78;0,052;-138,605;0,5;29,4;20,66;0,153;-138,605;0,124;0,1017;39;30;0,783
08.05.2020;11:57;2265;4;0,4;20,78;0,052;-138,605;0,5;29,4;20,6;0,205;-138,605;0,1768;0,1527;55;46;0,834
08.05.2020;12:02;2265;4;0,4;20,78;0,052;-138,605;0,49;29,4;20,59;0,219;-138,605;0,1866;0,1665;56;49;0,868
08.05.2020;12:07;2265;4;0,4;20,78;0,051;-138,605;0,5;29,5;20,61;0,193;-138,604;0,1719;0,1424;54;43;0,793
08.05.2020;12:12;2265;4;0,4;20,78;0,051;-138,605;0,5;29,5;20,65;0,162;-138,605;0,1351;0,111;42;33;0,785
08.05.2020;12:17;2265;4;0,4;20,78;0,05;-138,606;0,5;29,5;20,66;0,153;-138,605;0,1228;0,1026;38;31;0,802
08.05.2020;12:22;2265;4;0,4;20,78;0,053;-138,605;0,5;29,6;20,66;0,15;-138,605;0,1179;0,0972;37;29;0,789
08.05.2020;12:27;2265;4;0,4;20,78;0,05;-138,605;0,5;29,6;20,66;0,152;-138,604;0,1203;0,1012;38;30;0,807
08.05.2020;12:32;2265;4;0,4;20,78;0,051;-138,605;0,5;29,7;20,67;0,148;-138,605;0,1142;0,0972;36;29;0,82
08.05.2020;12:37;2265;4;0,4;20,78;0,051;-138,605;0,5;29,7;20,66;0,153;-138,605;0,1215;0,1017;38;31;0,802
08.05.2020;12:42;2265;4;0,4;20,78;0,049;-138,606;0,5;29,7;20,61;0,203;-138,605;0,1694;0,1532;52;46;0,882
08.05.2020;12:47;2265;4;0,4;20,78;0,049;-138,605;0,49;29,7;20,57;0,238;-138,605;0,2124;0,1896;65;56;0,868
08.05.2020;12:52;2265;4;0,4;20,78;0,048;-138,605;0,5;29,5;20,66;0,154;-138,605;0,1252;0,1056;39;32;0,81
08.05.2020;12:57;2265;4;0,4;20,78;0,048;-138,606;0,5;29,4;20,68;0,137;-138,605;0,108;0,0889;34;27;0,786
08.05.2020;13:02;2265;4;0,4;20,78;0,049;-138,605;0,5;29,3;20,67;0,134;-138,605;0,1093;0,0845;35;25;0,73
08.05.2020;13:07;2265;4;0,4;20,78;0,049;-138,605;0,5;29,3;20,66;0,156;-138,605;0,1277;0,1071;40;32;0,804
08.05.2020;13:12;2265;4;0,4;20,78;0,047;-138,606;0,5;29,3;20,62;0,184;-138,605;0,1608;0,137;50;41;0,82
08.05.2020;13:17;2265;4;0,4;20,78;0,047;-138,605;0,5;29,3;20,6;0,211;-138,605;0,1805;0,164;55;49;0,888
08.05.2020;13:22;2265;4;0,4;20,78;0,047;-138,605;0,5;29,4;20,66;0,156;-138,605;0,1277;0,1085;40;33;0,818
08.05.2020;13:27;2265;4;0,4;20,78;0,05;-138,605;0,5;29,4;20,66;0,146;-138,605;0,1179;0,0958;37;29;0,774
08.05.2020;13:32;2265;4;0,4;20,78;0,05;-138,606;0,5;29,4;20,65;0,161;-138,605;0,1326;0,1105;41;33;0,798
08.05.2020;13:37;2265;4;0,4;20,78;0,051;-138,605;0,5;29,5;20,62;0,195;-138,605;0,167;0,1439;52;43;0,832
08.05.2020;13:42;2265;4;0,4;20,78;0,049;-138,605;0,51;29,5;20,64;0,171;-138,606;0,1436;0,1218;46;37;0,815
08.05.2020;13:47;2265;4;0,4;20,78;0,049;-138,605;0,5;29,5;20,67;0,14;-138,605;0,1166;0,0909;37;27;0,736
08.05.2020;13:52;2265;4;0,4;20,78;0,048;-138,606;0,5;29,6;20,68;0,137;-138,605;0,108;0,0894;34;27;0,791
08.05.2020;13:57;2265;4;0,4;20,78;0,047;-138,605;0,5;29,6;20,67;0,139;-138,605;0,1105;0,0923;35;28;0,801
08.05.2020;14:02;2265;4;0,4;20,79;0,047;-138,605;0,5;29,6;20,67;0,14;-138,605;0,1154;0,0933;36;28;0,77
08.05.2020;14:07;2265;4;0,4;20,79;0,047;-138,605;0,5;29,7;20,67;0,141;-138,605;0,1191;0,0943;38;28;0,751
08.05.2020;14:12;2265;4;0,4;20,78;0,047;-138,606;0,5;29,6;20,66;0,149;-138,606;0,1228;0,1012;38;30;0,788
08.05.2020;14:17;2265;4;0,4;20,78;0,047;-138,606;0,5;29,4;20,68;0,134;-138,605;0,1093;0,0864;34;26;0,75
08.05.2020;14:22;2265;4;0,4;20,78;0,047;-138,605;0,5;29,3;20,65;0,158;-138,605;0,1351;0,111;43;33;0,785
08.05.2020;14:27;2265;4;0,4;20,78;0,047;-138,605;0,5;29,3;20,66;0,149;-138,605;0,1228;0,1012;38;30;0,788
08.05.2020;14:32;2265;4;0,4;20,79;0,047;-138,605;0,5;29,2;20,67;0,138;-138,605;0,1154;0,0909;36;27;0,746
08.05.2020;14:37;2265;4;0,4;20,79;0,047;-138,606;0,5;29,3;20,66;0,151;-138,605;0,1265;0,1036;40;31;0,782
08.05.2020;14:42;2265;4;0,4;20,79;0,047;-138,605;0,5;29,3;20,66;0,151;-138,605;0,1252;0,1041;39;31;0,796
08.05.2020;14:47;2265;4;0,4;20,78;0,047;-138,605;0,51;29,3;20,62;0,181;-138,605;0,1621;0,1346;52;41;0,795
08.05.2020;14:52;2265;4;0,4;20,78;0,047;-138,605;0,5;29,4;20,6;0,21;-138,605;0,1817;0,1626;56;49;0,871
08.05.2020;14:57;2265;4;0,4;20,78;0,05;-138,606;0,5;29,4;20,58;0,226;-138,605;0,2038;0,1763;63;53;0,836
08.05.2020;15:02;2265;4;0,4;20,78;0,049;-138,605;0,5;29,5;20,6;0,202;-138,605;0,1817;0,1522;57;46;0,804
08.05.2020;15:07;2265;4;0,4;20,78;0,051;-138,605;0,5;29,6;20,62;0,191;-138,605;0,1584;0,1405;49;42;0,861
08.05.2020;15:12;2265;4;0,4;20,78;0,05;-138,606;0,5;29,7;20,62;0,194;-138,605;0,1621;0,1439;50;43;0,863
08.05.2020;15:17;2265;4;0,4;20,78;0,047;-138,606;0,5;29,7;20,59;0,219;-138,605;0,1977;0,1714;61;51;0,838
08.05.2020;15:22;2265;4;0,4;20,79;0,047;-138,606;0,51;29,7;20,65;0,164;-138,605;0,1387;0,1174;44;36;0,813
08.05.2020;15:27;2265;4;0,4;20,79;0,047;-138,605;0,5;29,7;20,67;0,145;-138,605;0,1166;0,0982;37;30;0,809
08.05.2020;15:32;2265;4;0,4;20,79;0,047;-138,606;0,5;29,8;20,67;0,145;-138,605;0,1154;0,0982;36;30;0,819
08.05.2020;15:37;2265;4;0,4;20,78;0,048;-138,605;0,5;29,7;20,66;0,156;-138,606;0,1228;0,1085;38;32;0,858
08.05.2020;15:42;2265;4;0,4;20,78;0,047;-138,605;0,5;29,5;20,66;0,15;-138,605;0,1203;0,1031;37;31;0,826
08.05.2020;15:47;2265;4;0,4;20,78;0,047;-138,605;0,51;29,4;20,66;0,15;-138,605;0,1203;0,1026;39;32;0,821
08.05.2020;15:52;2265;4;0,4;20,79;0,047;-138,606;0,5;29,3;20,67;0,149;-138,605;0,1203;0,1017;38;31;0,812
08.05.2020;15:57;2265;4;0,4;20,79;0,047;-138,605;0,52;29,3;20,66;0,152;-138,605;0,1252;0,1051;41;33;0,805
08.05.2020;16:02;2265;4;0,4;20,79;0,047;-138,605;0,49;29,3;20,67;0,143;-138,605;0,1203;0,0958;37;28;0,755
08.05.2020;16:07;2265;4;0,4;20,79;0,047;-138,606;0,5;29,3;20,61;0,203;-138,605;0,1756;0,1562;54;47;0,864
08.05.2020;16:12;2265;4;0,4;20,79;0,046;-138,606;0,5;29,4;20,64;0,176;-138,605;0,1461;0,1297;45;39;0,862
08.05.2020;16:17;2265;4;0,4;20,78;0,049;-138,606;0,5;29,4;20,66;0,154;-138,606;0,124;0,1051;39;31;0,815
08.05.2020;16:22;2265;4;0,4;20,78;0,047;-138,605;0,5;29,4;20,67;0,14;-138,605;0,1105;0,0928;35;28;0,806
08.05.2020;16:27;2265;4;0,4;20,79;0,046;-138,605;0,5;29,4;20,67;0,139;-138,605;0,1142;0,0923;36;28;0,77
08.05.2020;16:32;2265;4;0,4;20,79;0,047;-138,605;0,49;29,5;20,67;0,138;-138,605;0,1117;0,0909;35;27;0,775
08.05.2020;16:37;2265;4;0,4;20,78;0,049;-138,606;0,5;29,6;20,68;0,135;-138,605;0,1056;0,0855;33;26;0,771
08.05.2020;16:42;2265;4;0,4;20,78;0,05;-138,605;0,5;29,6;20,68;0,134;-138,605;0,1031;0,0835;33;25;0,771
08.05.2020;16:47;2265;4;0,4;20,78;0,048;-138,605;0,5;29,6;20,68;0,133;-138,605;0,1068;0,085;34;25;0,755
08.05.2020;16:52;2265;4;0,4;20,79;0,046;-138,606;0,5;29,7;20,68;0,134;-138,605;0,1056;0,0874;33;26;0,792
08.05.2020;16:57;2265;4;0,4;20,79;0,046;-138,605;0,5;29,7;20,67;0,147;-138,606;0,1166;0,1007;36;30;0,833
08.05.2020;17:02;2265;4;0,4;20,79;0,046;-138,605;0,5;29,6;20,68;0,134;-138,605;0,1068;0,0884;33;27;0,792
08.05.2020;17:07;2265;4;0,4;20,78;0,047;-138,605;0,5;29,4;20,64;0,171;-138,606;0,1473;0,1238;46;37;0,806
08.05.2020;17:12;2265;4;0,4;20,79;0,047;-138,605;0,5;29,4;20,61;0,204;-138,606;0,178;0,1567;55;47;0,853
08.05.2020;17:17;2265;4;0,4;20,78;0,048;-138,606;0,5;29,4;20,59;0,217;-138,605;0,194;0,1694;60;51;0,845
08.05.2020;17:22;2265;4;0,4;20,78;0,048;-138,605;0,49;29,3;20,64;0,171;-138,605;0,1436;0,1228;44;36;0,823
08.05.2020;17:27;2265;4;0,4;20,78;0,05;-138,605;0,5;29,3;20,66;0,158;-138,605;0,1252;0,108;39;32;0,833
08.05.2020;17:32;2265;4;0,4;20,78;0,05;-138,605;0,5;29,4;20,63;0,182;-138,605;0,1535;0,1326;48;40;0,834
08.05.2020;17:37;2265;4;0,4;20,78;0,048;-138,605;0,49;29,5;20,59;0,223;-138,606;0,194;0,1748;59;52;0,879
08.05.2020;17:42;2265;4;0,4;20,79;0,047;-138,606;0,5;29,5;20,6;0,223;-138,605;0,1891;0,1758;58;53;0,913
08.05.2020;17:47;2265;4;0,4;20,79;0,047;-138,605;0,5;29,6;20,58;0,23;-138,605;0,2014;0,1832;62;55;0,889
08.05.2020;17:52;2265;4;0,4;20,79;0,046;-138,606;0,5;29,6;20,61;0,201;-138,605;0,1768;0,1547;55;47;0,847
08.05.2020;17:57;2265;4;0,4;20,78;0,049;-138,605;0,5;29,7;20,59;0,216;-138,605;0,1915;0,1665;59;50;0,84
08.05.2020;18:02;2265;4;0,4;20,78;0,048;-138,605;0,5;29,7;20,55;0,253;-138,606;0,2333;0,2043;72;61;0,848
08.05.2020;18:07;2265;4;0,4;20,78;0,048;-138,605;0,51;29,8;20,62;0,191;-138,605;0,167;0,1429;53;44;0,825
08.05.2020;18:12;2265;4;0,4;20,78;0,049;-138,605;0,5;29,7;20,65;0,165;-138,604;0,1351;0,1154;42;34;0,823
08.05.2020;18:17;2265;4;0,4;20,78;0,05;-138,605;0,5;29,7;20,66;0,156;-138,605;0,1215;0,1056;38;32;0,84
08.05.2020;18:22;2265;4;0,4;20,78;0,048;-138,605;0,5;29,7;20,66;0,157;-138,605;0,1215;0,1085;37;33;0,869
08.05.2020;18:27;2265;4;0,4;20,78;0,047;-138,606;0,5;29,5;20,64;0,181;-138,605;0,1461;0,1336;45;40;0,894
08.05.2020;18:32;2265;4;0,4;20,79;0,047;-138,605;0,51;29,3;20,57;0,246;-138,605;0,2198;0,1989;69;61;0,883
08.05.2020;18:37;2265;4;0,4;20,78;0,051;-138,606;0,51;29,2;20,51;0,293;-138,605;0,2664;0,2421;83;74;0,888
08.05.2020;18:42;2265;4;0,4;20,78;0,053;-138,605;0,5;29,2;20,54;0,26;-138,606;0,237;0,2068;74;63;0,844
08.05.2020;18:47;2265;4;0,4;20,78;0,053;-138,605;0,5;29,1;20,56;0,246;-138,606;0,2222;0,193;69;58;0,84
08.05.2020;18:52;2265;4;0,4;20,78;0,051;-138,605;0,5;29,2;20,59;0,217;-138,605;0,1915;0,1655;60;50;0,834
08.05.2020;18:57;2265;4;0,4;20,78;0,05;-138,605;0,5;29,2;20,55;0,261;-138,605;0,232;0,2102;71;63;0,884
08.05.2020;19:02;2265;4;0,4;20,78;0,049;-138,605;0,5;29,3;20,52;0,276;-138,605;0,2603;0,2274;81;68;0,846
08.05.2020;19:07;2265;4;0,4;20,78;0,049;-138,605;0,5;29,4;20,55;0,252;-138,605;0,2333;0,2033;72;61;0,843
08.05.2020;19:12;2265;4;0,4;20,78;0,048;-138,605;0,5;29,4;20,59;0,209;-138,605;0,1891;0,1606;59;48;0,817
08.05.2020;19:17;2265;4;0,4;20,78;0,047;-138,605;0,49;29,3;20,63;0,186;-138,605;0,1584;0,1385;48;41;0,847
08.05.2020;19:22;2265;4;0,4;20,78;0,048;-138,605;0,5;29,4;20,58;0,225;-138,605;0,2001;0,1768;62;53;0,857
08.05.2020;19:27;2265;4;0,4;20,79;0,048;-138,606;0,5;29,5;20,56;0,242;-138,605;0,2222;0,194;68;58;0,845
08.05.2020;19:32;2265;4;0,4;20,78;0,048;-138,605;0,51;29,4;20,55;0,255;-138,604;0,237;0,2073;74;63;0,847
08.05.2020;19:37;2265;4;0,4;20,78;0,05;-138,605;0,5;29,5;20,52;0,274;-138,605;0,2578;0,224;80;67;0,84
08.05.2020;19:42;2265;4;0,4;20,78;0,05;-138,605;0,5;29,4;20,56;0,252;-138,605;0,2271;0,2019;70;60;0,863
08.05.2020;19:47;2265;4;0,4;20,78;0,048;-138,605;0,52;29,4;20,56;0,247;-138,605;0,2271;0,1984;73;62;0,845
08.05.2020;19:52;2265;4;0,4;20,78;0,048;-138,606;0,5;29,5;20,54;0,265;-138,605;0,248;0,2171;77;65;0,848
08.05.2020;19:57;2265;4;0,4;20,78;0,048;-138,606;0,5;29,5;20,58;0,226;-138,605;0,205;0,1778;64;53;0,838
08.05.2020;20:02;2265;4;0,4;20,78;0,05;-138,605;0,5;29,4;20,62;0,188;-138,604;0,1608;0,1375;50;41;0,824
08.05.2020;20:07;2265;4;0,4;20,78;0,051;-138,605;0,5;29,4;20,64;0,174;-138,604;0,1424;0,1228;44;37;0,832
08.05.2020;20:12;2265;4;0,4;20,78;0,049;-138,604;0,5;29,3;20,64;0,171;-138,605;0,1412;0,1223;44;37;0,837
08.05.2020;20:17;2265;4;0,4;20,78;0,048;-138,605;0,5;29,3;20,64;0,172;-138,605;0,1424;0,1238;44;37;0,84
08.05.2020;20:22;2265;4;0,4;20,78;0,048;-138,605;0,5;29,3;20,65;0,17;-138,605;0,1387;0,1213;43;36;0,846
08.05.2020;20:27;2265;4;0,4;20,78;0,048;-138,605;0,5;29,3;20,62;0,19;-138,604;0,1608;0,1419;50;43;0,856
08.05.2020;20:32;2265;4;0,4;20,78;0,048;-138,605;0,5;29,4;20,58;0,243;-138,605;0,2075;0,1955;63;59;0,928
08.05.2020;20:37;2265;4;0,4;20,78;0,05;-138,605;0,5;29,4;20,5;0,303;-138,604;0,2848;0,2529;88;76;0,863
08.05.2020;20:42;2265;4;0,4;20,78;0,051;-138,605;0,5;29,3;20,58;0,232;-138,605;0,2001;0,1807;61;54;0,881
08.05.2020;20:47;2265;4;0,4;20,78;0,049;-138,605;0,49;29,4;20,48;0,321;-138,605;0,3082;0,2716;93;80;0,855
08.05.2020;20:52;2265;4;0,4;20,78;0,048;-138,605;0,5;29,4;20,52;0,285;-138,605;0,2627;0,2362;81;71;0,876
08.05.2020;20:57;2265;4;0,4;20,78;0,049;-138,605;0,5;29,4;20,52;0,281;-138,605;0,2603;0,2323;80;70;0,868
08.05.2020;21:02;2265;4;0,4;20,78;0,05;-138,606;0,5;29,4;20,56;0,252;-138,605;0,2234;0,2019;69;61;0,881
08.05.2020;21:07;2265;4;0,4;20,78;0,052;-138,606;0,5;29,4;20,59;0,216;-138,606;0,1891;0,164;59;49;0,838
08.05.2020;21:12;2265;4;0,4;20,78;0,053;-138,606;0,5;29,3;20,62;0,191;-138,604;0,1596;0,1385;50;42;0,839
08.05.2020;21:17;2265;4;0,4;20,78;0,052;-138,605;0,5;29,3;20,64;0,173;-138,605;0,1387;0,1213;43;36;0,846
08.05.2020;21:22;2265;4;0,4;20,78;0,05;-138,605;0,5;29,2;20,64;0,174;-138,604;0,14;0,1233;43;37;0,854
08.05.2020;21:27;2265;4;0,4;20,78;0,05;-138,606;0,5;29,2;20,64;0,173;-138,604;0,1387;0,1228;43;37;0,859
08.05.2020;21:32;2265;4;0,4;20,78;0,051;-138,605;0,5;29,2;20,64;0,178;-138,605;0,1424;0,1267;44;38;0,865
08.05.2020;21:37;2265;4;0,4;20,78;0,052;-138,605;0,5;29,2;20,59;0,223;-138,605;0,1891;0,1714;58;52;0,885
08.05.2020;21:42;2265;4;0,4;20,78;0,052;-138,605;0,5;29,2;20,57;0,238;-138,605;0,205;0,1861;63;56;0,886
08.05.2020;21:47;2265;4;0,4;20,78;0,052;-138,605;0,51;29,2;20,6;0,218;-138,605;0,1842;0,1655;58;51;0,875
08.05.2020;21:52;2265;4;0,4;20,78;0,052;-138,606;0,51;29,3;20,54;0,266;-138,605;0,2394;0,2146;75;65;0,873
08.05.2020;21:57;2265;4;0,4;20,78;0,053;-138,605;0,5;29,3;20,53;0,272;-138,605;0,248;0,2195;77;66;0,859
08.05.2020;22:02;2265;4;0,4;20,78;0,054;-138,606;0,5;29,3;20,55;0,261;-138,605;0,2333;0,2063;72;61;0,858
08.05.2020;22:07;2265;4;0,4;20,78;0,053;-138,606;0,5;29,4;20,56;0,246;-138,605;0,2185;0,1925;68;58;0,854
08.05.2020;22:12;2265;4;0,4;20,78;0,053;-138,606;0,51;29,4;20,55;0,257;-138,605;0,2247;0,2038;71;63;0,886
08.05.2020;22:17;2265;4;0,4;20,78;0,053;-138,605;0,5;29,4;20,59;0,224;-138,605;0,1915;0,1714;59;51;0,871
08.05.2020;22:22;2265;4;0,4;20,78;0,052;-138,605;0,5;29,4;20,62;0,194;-138,604;0,1645;0,1419;51;43;0,833
08.05.2020;22:27;2265;4;0,4;20,78;0,053;-138,605;0,5;29,4;20,64;0,174;-138,605;0,14;0,1208;43;36;0,833
08.05.2020;22:32;2265;4;0,4;20,78;0,054;-138,605;0,49;29,3;20,64;0,175;-138,605;0,1375;0,1203;41;35;0,847
08.05.2020;22:37;2265;4;0,4;20,78;0,056;-138,605;0,5;29,4;20,63;0,181;-138,605;0,1412;0,1247;44;37;0,857
08.05.2020;22:42;2265;4;0,4;20,78;0,056;-138,605;0,51;29,3;20,64;0,175;-138,605;0,1338;0,1189;42;36;0,863
08.05.2020;22:47;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,64;0,174;-138,605;0,1314;0,1184;40;35;0,878
08.05.2020;22:52;2265;4;0,4;20,78;0,055;-138,605;0,5;29,3;20,59;0,223;-138,606;0,1903;0,1685;59;50;0,859
08.05.2020;22:57;2265;4;0,4;20,78;0,054;-138,605;0,5;29,3;20,57;0,238;-138,605;0,2063;0,1837;64;55;0,866
08.05.2020;23:02;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,54;0,271;-138,605;0,2357;0,2156;73;65;0,895
08.05.2020;23:07;2265;4;0,4;20,78;0,054;-138,605;0,5;29,3;20,6;0,208;-138,605;0,1743;0,1532;54;46;0,852
08.05.2020;23:12;2265;4;0,4;20,78;0,054;-138,605;0,5;29,3;20,63;0,184;-138,604;0,151;0,1297;47;39;0,828
08.05.2020;23:17;2265;4;0,4;20,78;0,054;-138,605;0,5;29,3;20,64;0,175;-138,605;0,1412;0,1203;44;36;0,82
08.05.2020;23:22;2265;4;0,4;20,78;0,055;-138,605;0,5;29,3;20,64;0,168;-138,605;0,1338;0,1134;41;34;0,815
08.05.2020;23:27;2265;4;0,4;20,78;0,055;-138,605;0,5;29,2;20,63;0,183;-138,605;0,1436;0,1282;45;39;0,868
08.05.2020;23:32;2265;4;0,4;20,78;0,054;-138,605;0,5;29,2;20,59;0,222;-138,604;0,1878;0,1675;58;50;0,867
08.05.2020;23:37;2265;4;0,4;20,78;0,057;-138,605;0,5;29,3;20,5;0,303;-138,605;0,2726;0,2461;84;74;0,88
08.05.2020;23:42;2265;4;0,4;20,77;0,058;-138,605;0,5;29,3;20,54;0,265;-138,604;0,2345;0,2073;73;63;0,858
08.05.2020;23:47;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,55;0,261;-138,605;0,2308;0,2053;72;62;0,864
08.05.2020;23:52;2265;4;0,4;20,78;0,055;-138,606;0,51;29,4;20,55;0,254;-138,605;0,2271;0,1989;72;61;0,848
08.05.2020;23:57;2265;4;0,4;20,78;0,055;-138,605;0,5;29,4;20,53;0,268;-138,605;0,2419;0,2127;75;64;0,852
09.05.2020;00:02;2265;4;0,4;20,78;0,056;-138,605;0,5;29,4;20,52;0,277;-138,605;0,2529;0,221;78;66;0,846
09.05.2020;00:07;2265;4;0,4;20,77;0,058;-138,605;0,5;29,4;20,57;0,236;-138,605;0,205;0,1783;63;53;0,841
09.05.2020;00:12;2265;4;0,4;20,77;0,059;-138,605;0,5;29,4;20,58;0,23;-138,606;0,1964;0,1704;61;51;0,838
09.05.2020;00:17;2265;4;0,4;20,77;0,058;-138,605;0,5;29,4;20,57;0,235;-138,605;0,2014;0,1763;63;53;0,848
09.05.2020;00:22;2265;4;0,4;20,77;0,06;-138,605;0,5;29,4;20,6;0,21;-138,605;0,1768;0,1503;55;45;0,818
09.05.2020;00:27;2265;4;0,4;20,77;0,06;-138,605;0,51;29,4;20,58;0,228;-138,605;0,194;0,1685;62;52;0,839
09.05.2020;00:32;2265;4;0,4;20,77;0,057;-138,605;0,5;29,3;20,63;0,18;-138,605;0,1449;0,1223;45;37;0,811
09.05.2020;00:37;2265;4;0,4;20,77;0,057;-138,605;0,5;29,3;20,64;0,174;-138,605;0,1387;0,1169;43;35;0,809
09.05.2020;00:42;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,63;0,181;-138,604;0,1473;0,1252;46;38;0,818
09.05.2020;00:47;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,64;0,168;-138,605;0,1387;0,1125;44;34;0,772
09.05.2020;00:52;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,62;0,191;-138,605;0,1559;0,1355;48;41;0,841
09.05.2020;00:57;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,64;0,17;-138,605;0,1351;0,1139;42;34;0,81
09.05.2020;01:02;2265;4;0,4;20,78;0,056;-138,605;0,49;29,2;20,64;0,168;-138,605;0,1326;0,112;40;33;0,811
09.05.2020;01:07;2265;4;0,4;20,77;0,058;-138,605;0,5;29,2;20,63;0,173;-138,605;0,1387;0,1149;44;35;0,793
09.05.2020;01:12;2265;4;0,4;20,77;0,058;-138,605;0,5;29,2;20,64;0,168;-138,605;0,1338;0,1105;42;33;0,79
09.05.2020;01:17;2265;4;0,4;20,77;0,056;-138,606;0,5;29,2;20,64;0,166;-138,605;0,1338;0,11;42;33;0,785
09.05.2020;01:22;2265;4;0,4;20,78;0,056;-138,605;0,49;29,2;20,61;0,198;-138,604;0,1657;0,1419;51;42;0,825
09.05.2020;01:27;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,56;0,252;-138,605;0,221;0,1964;68;59;0,864
09.05.2020;01:32;2265;4;0,4;20,78;0,056;-138,605;0,49;29,3;20,53;0,275;-138,605;0,2468;0,219;74;64;0,862
09.05.2020;01:37;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,53;0,266;-138,605;0,2419;0,2097;76;63;0,838
09.05.2020;01:42;2265;4;0,4;20,78;0,056;-138,605;0,5;29,3;20,59;0,211;-138,604;0,1842;0,1552;58;47;0,809
09.05.2020;01:47;2265;4;0,4;20,78;0,057;-138,605;0,5;29,3;20,62;0,187;-138,606;0,1559;0,1306;49;39;0,804
09.05.2020;01:52;2265;4;0,4;20,77;0,057;-138,605;0,5;29,3;20,63;0,179;-138,605;0,1424;0,1218;44;36;0,824
09.05.2020;01:57;2265;4;0,4;20,78;0,056;-138,605;0,5;29,2;20,63;0,177;-138,605;0,1436;0,1208;45;36;0,807
09.05.2020;02:02;2265;4;0,4;20,77;0,057;-138,605;0,5;29,2;20,64;0,177;-138,604;0,1387;0,1203;43;36;0,838
09.05.2020;02:07;2265;4;0,4;20,77;0,057;-138,605;0,51;29,2;20,63;0,18;-138,604;0,1412;0,1228;44;37;0,841
09.05.2020;02:12;2265;4;0,4;20,77;0,059;-138,605;0,5;29,2;20,64;0,176;-138,605;0,1363;0,1169;43;35;0,827
