"";"RestingMetabolicRate";"Animal";"Time"
"1";0,146759835687075;"6833";0,833333333333333
"2";0,102551261154475;"6833";0,833333333333333
"3";0,0884622410079629;"6833";0,833333333333333
"4";0,088913135715492;"6833";0,833333333333333
"5";0,0948096326352018;"6833";0,833333333333333
"6";0,0992780086140584;"6833";0,833333333333333
"7";0,104818170456837;"6833";0
"8";0,107023686309085;"6833";0
"9";0,107840381014129;"6833";0
"10";0,114916982498915;"6833";0
"11";0,112313464900869;"6833";0
"12";0,112367499753954;"6833";0
"13";0,115239578025548;"6833";0,166666666666667
"14";0,11945550418984;"6833";0,166666666666667
"15";0,119960252152105;"6833";0,166666666666667
"16";0,102542088339234;"6833";0,166666666666667
"17";0,0523091104349837;"6833";0,166666666666667
"18";0,0906632166997697;"6833";0,166666666666667
"19";0,0888349691858453;"6833";0,166666666666667
"20";0,134515574176992;"6833";0,166666666666667
"21";0,129551145027941;"6833";0,166666666666667
"22";0,130795622095588;"6833";0,166666666666667
"23";0,137901592533387;"6833";0,166666666666667
"24";0,150008090110055;"6833";0,166666666666667
"25";0,146125170302581;"6833";0,333333333333333
"26";0,142634368006848;"6833";0,333333333333333
"27";0,146868361830179;"6833";0,333333333333333
"28";0,143948463319182;"6833";0,333333333333333
"29";0,166047713178124;"6833";0,333333333333333
"30";0,142149346032148;"6833";0,333333333333333
"31";0,171835212081296;"6833";0,5
"32";0,168077938846652;"6833";0,5
"33";0,159528490790161;"6833";0,5
"34";0,154455417876594;"6833";0,5
"35";0,167776511524926;"6833";0,5
"36";0,163185496895371;"6833";0,5
"37";0,154496671686748;"6833";0,5
"38";0,154604966136817;"6833";0,5
"39";0,151098642886018;"6833";0,5
"40";0,151441966786437;"6833";0,5
"41";0,114200805225624;"6833";0,5
"42";0,114159485759982;"6833";0,5
"43";0,11328804542694;"6833";0,666666666666667
"44";0,10230397389798;"6833";0,666666666666667
"45";0,0822997752898179;"6833";0,666666666666667
"46";0,0843897967755775;"6833";0,666666666666667
"47";0,0985580953516318;"6833";0,666666666666667
"48";0,0938457749440335;"6833";0,666666666666667
"49";0,115870000187428;"6833";0,833333333333333
"50";0,12055257722131;"6833";0,833333333333333
"51";0,138025381352814;"6833";0,833333333333333
"52";0,12634106646547;"6833";0,833333333333333
"53";0,108839290375386;"6833";0,833333333333333
"54";0,104941463040777;"6833";0,833333333333333
"55";0,0945232029234432;"6833";1
"56";0,100675941043781;"6833";1
"57";0,125649801975092;"6833";1
"58";0,167639904606928;"6833";1
"59";0,158673614152839;"6833";1
"60";0,156101628850243;"6833";1
"61";0,139953076167383;"6833";1
"62";0,168862880227486;"6833";1
"63";0,170677582240602;"6833";1
"64";0,152144018611077;"6833";1
"65";0,142615095030968;"6833";1
"66";0,142902582236673;"6833";1
"67";0,142674403305501;"6833";1,16666666666667
"68";0,120406804450539;"6833";1,16666666666667
"69";0,118419967108359;"6833";1,16666666666667
"70";0,130123202290931;"6833";1,16666666666667
"71";0,143630171350018;"6833";1,16666666666667
"72";0,102416955800418;"6833";1,16666666666667
"73";0,109843638188013;"6833";1,33333333333333
"74";0,121979320234569;"6833";1,33333333333333
"75";0,122931855173709;"6833";1,33333333333333
"76";0,114358463406429;"6833";1,33333333333333
"77";0,107725778697199;"6833";1,33333333333333
"78";0,0988728940408168;"6833";1,33333333333333
"79";0,0958483074669134;"6833";1,33333333333333
"80";0,0982063507962166;"6833";1,33333333333333
"81";0,096575855857463;"6833";1,33333333333333
"82";0,095879080091142;"6833";1,33333333333333
"83";0,109791617154647;"6833";1,33333333333333
"84";0,0943701425096504;"6833";1,33333333333333
"85";0,0820274486025514;"6833";1,5
"86";0,1136087548925;"6833";1,5
"87";0,116176735947629;"6833";1,5
"88";0,119808645763661;"6833";1,5
"89";0,119431303318598;"6833";1,5
"90";0,114271448612268;"6833";1,5
"91";0,113263251439367;"6833";1,66666666666667
"92";0,119233263339365;"6833";1,66666666666667
"93";0,130233445561518;"6833";1,66666666666667
"94";0,141329670225922;"6833";1,66666666666667
"95";0,141692773795762;"6833";1,66666666666667
"96";0,154715663899438;"6833";1,66666666666667
"97";0,160540900293437;"6833";1,66666666666667
"98";0,18870954171155;"6833";1,66666666666667
"99";0,188958836414404;"6833";1,66666666666667
"100";0,188639906915561;"6833";1,66666666666667
"101";0,200807082076979;"6833";1,66666666666667
"102";0,195845900620002;"6833";1,66666666666667
"103";0,20136823652015;"6833";2,83333333333333
"104";0,176477444040018;"6833";2,83333333333333
"105";0,174723798735607;"6833";2,83333333333333
"106";0,157705162507791;"6833";2,83333333333333
"107";0,136465780949407;"6833";2,83333333333333
"108";0,125753193528423;"6833";2,83333333333333
"109";0,125683579038949;"6833";2
"110";0,132125919196675;"6833";2
"111";0,136522503622766;"6833";2
"112";0,147737367490898;"6833";2
"113";0,122018608468228;"6833";2
"114";0,116914512541519;"6833";2
"115";0,12074147372393;"6833";2
"116";0,121118699794954;"6833";2
"117";0,11784406677374;"6833";2
"118";0,115390389075983;"6833";2
"119";0,0858246306968573;"6833";2
"120";0,100271556962671;"6833";2
"121";0,105914688448096;"6833";2,16666666666667
"122";0,104133340308618;"6833";2,16666666666667
"123";0,106074724649637;"6833";2,16666666666667
"124";0,108479837461316;"6833";2,16666666666667
"125";0,0953400667747474;"6833";2,16666666666667
"126";0,095179747382277;"6833";2,16666666666667
"127";0,0899179916820456;"6833";2,33333333333333
"128";0,0868078593102632;"6833";2,33333333333333
"129";0,0894406346133308;"6833";2,33333333333333
"130";0,0657993164214212;"6833";2,33333333333333
