"";"Animal No._NA";"VO2(3)_[ml/h]";"VCO2(3)_[ml/h]";"RER_NA";"Datetime";"LightC_[%]";"Box_NA.x";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2";"Animals";"Box_NA.y";"Weight..g."
"4598";235;39;29;0,738;"06/03/2023 14:51";99;7;2023-03-06 14:51:00;14;51;471;1800;450000;125;125;0,833333333333333;125,833333333333;213,890976;214,31826;"235";"7";"21.5"
"4599";235;75;57;0,762;"03/03/2023 16:21";99;7;2023-03-03 16:21:00;16;21;206;900;196200;54,5;54;0,333333333333333;54,3333333333333;414,3312;414,7245;"235";"7";"21.5"
"4600";235;118;118;0,998;"03/03/2023 21:51";0;7;2023-03-03 21:51:00;21;51;227;900;216000;60;60;0,833333333333333;60,8333333333333;698,331552;692,32252;"235";"7";"21.5"
"4601";235;84;57;0,672;"09/03/2023 08:36";99;7;2023-03-09 08:36:00;8;36;719;900;686700;190,8;190;0,5;190,5;451,440864;453,68064;"235";"7";"21.5"
"4602";235;144;67;0,462;"07/03/2023 01:36";0;7;2023-03-07 01:36:00;1;36;512;900;488700;135,8;135;0,5;135,5;723,458304;734,49504;"235";"7";"21.5"
"4603";235;103;105;1,021;"02/03/2023 20:51";0;7;2023-03-02 20:51:00;20;51;133;900;126000;35;35;0,833333333333333;35,8333333333333;613,512084;607,70309;"235";"7";"21.5"
"4604";235;59;48;0,808;"07/03/2023 14:51";99;7;2023-03-07 14:51:00;14;51;562;900;536400;149;149;0,833333333333333;149,833333333333;330,467496;330,13096;"235";"7";"21.5"
"4605";235;96;94;0,976;"03/03/2023 00:36";0;7;2023-03-03 00:36:00;0;36;147;900;139500;38,8;38;0,5;38,5;564,611328;560,22528;"235";"7";"21.5"
"4606";235;85;77;0,904;"03/03/2023 11:21";99;7;2023-03-03 11:21:00;11;21;187;900;178200;49,5;49;0,333333333333333;49,3333333333333;489,70812;487,2812;"235";"7";"21.5"
"4607";235;61;52;0,846;"02/03/2023 13:51";99;7;2023-03-02 13:51:00;13;51;106;900;100800;28;28;0,833333333333333;28,8333333333333;345,536208;344,63658;"235";"7";"21.5"
"4608";235;71;51;0,727;"09/03/2023 08:51";99;7;2023-03-09 08:51:00;8;51;720;900;687600;191;191;0,833333333333333;191,833333333333;388,088556;389,05231;"235";"7";"21.5"
"4609";235;65;59;0,911;"02/03/2023 03:06";0;7;2023-03-02 03:06:00;3;6;66;900;62100;17,2;17;0;17;375,24162;373,27745;"235";"7";"21.5"
"4610";235;98;100;1,022;"04/03/2023 21:36";0;7;2023-03-04 21:36:00;21;36;316;900;301500;83,8;83;0,5;83,5;583,893408;578,34308;"235";"7";"21.5"
"4611";235;64;51;0,793;"03/03/2023 16:51";99;7;2023-03-03 16:51:00;16;51;208;900;198000;55;55;0,833333333333333;55,8333333333333;356,871936;356,73536;"235";"7";"21.5"
"4612";235;42;30;0,719;"06/03/2023 10:06";99;7;2023-03-06 10:06:00;10;6;454;900;432900;120,2;120;0;120;229,013064;229,66314;"235";"7";"21.5"
"4613";235;91;91;0,994;"03/03/2023 00:51";0;7;2023-03-03 00:51:00;0;51;148;900;140400;39;39;0,833333333333333;39,8333333333333;537,936672;533,38922;"235";"7";"21.5"
"4614";235;48;41;0,864;"05/03/2023 06:36";99;7;2023-03-05 06:36:00;6;36;350;900;333900;92,8;92;0,5;92,5;273,338496;272,42496;"235";"7";"21.5"
"4615";235;42;42;0,999;"05/03/2023 03:06";0;7;2023-03-05 03:06:00;3;6;337;900;321300;89,2;89;0;89;248,628744;246,47994;"235";"7";"21.5"
"4616";235;31;23;0,722;"07/03/2023 15:36";99;7;2023-03-07 15:36:00;15;36;565;900;539100;149,8;149;0,5;149,5;169,188576;169,64626;"235";"7";"21.5"
"4617";235;85;82;0,972;"09/03/2023 21:51";0;7;2023-03-09 21:51:00;21;51;769;900;734400;204;204;0,833333333333333;204,833333333333;499,34916;495,5466;"235";"7";"21.5"
"4618";235;70;76;1,076;"03/03/2023 01:06";0;7;2023-03-03 01:06:00;1;6;149;900;141300;39,2;39;0;39;423,37176;418,5076;"235";"7";"21.5"
"4619";235;64;52;0,804;"04/03/2023 09:21";99;7;2023-03-04 09:21:00;9;21;270;900;257400;71,5;71;0,333333333333333;71,3333333333333;358,046208;357,74208;"235";"7";"21.5"
"4620";235;48;42;0,876;"09/03/2023 04:06";0;7;2023-03-09 04:06:00;4;6;702;900;670500;186,2;186;0;186;274,299264;273,24864;"235";"7";"21.5"
"4621";235;82;64;0,781;"08/03/2023 04:21";0;7;2023-03-08 04:21:00;4;21;613;900;585000;162,5;162;0,333333333333333;162,333333333333;455,600856;455,66006;"235";"7";"21.5"
"4622";235;102;97;0,957;"09/03/2023 22:06";0;7;2023-03-09 22:06:00;22;6;770;900;735300;204,2;204;0;204;596,666952;592,46802;"235";"7";"21.5"
"4623";235;30;28;0,933;"06/03/2023 10:36";99;7;2023-03-06 10:36:00;10;36;455;1800;434700;120,8;120;0,5;120,5;174,28932;173,2257;"235";"7";"21.5"
"4624";235;86;86;0,996;"05/03/2023 01:51";0;7;2023-03-05 01:51:00;1;51;332;900;316800;88;88;0,833333333333333;88,8333333333333;508,666608;504,32808;"235";"7";"21.5"
"4625";235;89;75;0,841;"04/03/2023 04:21";0;7;2023-03-04 04:21:00;4;21;251;900;239400;66,5;66;0,333333333333333;66,3333333333333;503,400732;502,19407;"235";"7";"21.5"
