timestep	day	time	daytime	5058	7564	7566	7728
1	day_1	09:34	day	0.7832829854291801	0.48825982309335975	0.5550546335344693	0.45578405400043553
2	day_1	09:49	day	0.7895318227771186	0.4661081989585896	0.5711116876163228	0.479878777987553
3	day_1	10:04	day	0.6780134800268778	0.46994935326182236	0.49484113665928653	0.350653973593021
4	day_1	10:19	day	0.7091468649020741	0.4513163984073137	0.5163927220676683	0.39289462961838384
5	day_1	10:34	day	0.626167532956438	0.47075925562019005	0.43486734539505906	0.4079356586755676
6	day_1	10:49	day	0.5908977539889447	0.5120055502603299	0.42182616783888055	0.39605315036980576
7	day_1	11:04	day	0.6127412389726661	0.4073180697089809	0.4377953224927995	0.3964517825864624
8	day_1	11:19	day	0.5719793319456361	0.39594159534449735	0.4275559194502672	0.3353639746756347
9	day_1	11:34	day	0.48208513430417377	0.4736222326492956	0.38191825002448904	0.3915325972614271
10	day_1	11:49	day	0.5694717335703637	0.39295969715158907	0.3446683634876476	0.2883437710068935
11	day_1	12:04	day	0.5895329170378824	0.5258016080857147	0.36765742614070407	0.40021672203841285
12	day_1	12:19	day	0.5490939637228055	0.3977544619907531	0.4243415148698153	0.36596277842059854
13	day_1	12:34	day	0.5080628248586643	0.4937644275650734	0.37366836348764765	0.3609968914014926
14	day_1	12:49	day	0.4967294003369339	0.5762239355589391	0.3250714177654135	0.3850145310318544
15	day_1	13:04	day	0.4900314124293321	0.42737000943337944	0.318	0.3499407095927529
16	day_1	13:19	day	0.47690658340757647	0.39582601678402923	0.32720916283329743	0.34635635972006995
17	day_1	13:34	day	0.4737814808206298	0.33989277794786843	0.3048008668083771	0.29667728586026954
18	day_1	13:49	day	0.43853373773345516	0.47037130241960023	0.38790716139333387	0.39973471110841213
19	day_1	14:04	day	0.5122642323311528	0.4330406811638574	0.47987228457379055	0.3878218972995385
20	day_1	14:19	day	0.5521267439780922	0.39659485966309294	0.40725497699978436	0.3413039082295392
21	day_1	14:34	day	0.5187395975815203	0.37920599179172887	0.3210714177654135	0.37609161538861013
22	day_1	14:49	day	0.47830228565758914	0.37848391669218023	0.28869381580236264	0.38066329938854315
23	day_1	15:04	day	0.45817718307064254	0.421855597427227	0.30007141776541346	0.37276563833122534
24	day_1	15:19	day	0.4249280721575131	0.4732427939969238	0.3598511663009609	0.39089960337599566
25	day_1	15:34	day	0.4843237744075258	0.4282642384073501	0.3400501482083723	0.35337905026761707
26	day_1	15:49	day	0.4674480562988995	0.40827237464012156	0.34588710210998497	0.38194630507006627
27	day_1	16:04	day	0.46344805629889957	0.38656786499233686	0.306	0.37025837281529816
28	day_1	16:19	day	0.42902258301070045	0.4075506778560195	0.275	0.3595413784968213
29	day_1	16:34	day	0.5178759916738173	0.4599391674119371	0.27746938158023626	0.3707960209939105
30	day_1	16:49	day	0.4815731588858461	0.41267751497702865	0.276	0.4041087104588439
31	day_1	17:04	day	0.4845522172662914	0.41539571111791473	0.3196271859314691	0.3867448129427827
32	day_1	17:19	day	0.45043758548912216	0.3723678017763843	0.34784174179613253	0.38512192089172187
33	day_1	17:34	day	0.42072084448349323	0.47175887730474353	0.2812805805987108	0.4197871625989429
34	day_1	17:49	day	0.5625114282879456	0.41037130241960024	0.2692142532962404	0.39641254152880967
35	day_1	18:04	day	0.5148230904945484	0.4119580258499217	0.3344536563387727	0.40934618072612594
36	day_1	18:19	day	0.44096249380394564	0.26744140618677414	0.33490161707775634	0.39394381819126034
37	day_1	18:34	day	0.561025045097419	0.3877570479631949	0.32244705303371446	0.4675749469175873
38	day_1	18:49	day	0.5658362969562353	0.47603033727409083	0.3833001860294252	0.42103986277735433
39	day_1	19:04	day	0.5943135771629393	0.4329223585910662	0.41674965961052407	0.42828937719768484
40	day_1	19:19	day	0.5326147685597648	0.39065903485449044	0.3040646631761437	0.43766586342692254
41	day_1	19:34	day	0.43570291208103884	0.44943714891266506	0.3477378145583113	0.3558522799622237
42	day_1	19:49	day	0.5819828882931185	0.46972579601832964	0.3984997730736827	0.5384851966880816
43	day_1	20:04	day	0.5686602081463565	0.45473651822354283	0.39642326484532625	0.4663848000640773
44	day_1	20:19	day	0.5661694479127746	0.48903588753442057	0.37732100173383176	0.46983518489198983
45	day_1	20:34	day	0.5502940033693393	0.4143480286676252	0.36486164979526997	0.4301807438984143
46	day_1	20:49	day	0.551127838238856	0.3381004410412646	0.33329585198753986	0.41729318467546717
47	day_1	21:04	day	0.549992538407323	0.40914203687589634	0.33178483899849043	0.41500574979646027
48	day_1	21:19	day	0.5594483298640904	0.36392273690651267	0.339467868738121	0.4904548911849698
49	day_1	21:34	day	0.45144004757584066	0.3941784607656449	0.36272839005348295	0.5693537956816906
50	day_1	21:49	day	0.5005874596082968	0.5084328916385561	0.3526979985600365	0.3635022917583154
51	day_1	22:04	day	0.5565772623637104	0.49267013537515014	0.3047891730403759	0.42342139992377725
52	day_1	22:19	day	0.5470451660214009	0.533643140704394	0.35590685882491085	0.5516115467772873
53	day_1	22:34	day	0.5419501080378316	0.4824782083919691	0.2782476172736685	0.3474921899239448
54	day_1	22:49	day	0.5396147685597648	0.42309489078093476	0.2984518409282344	0.4922748461658304
55	day_1	23:04	day	0.4556045713151783	0.46110006272581816	0.322431932929097	0.49045994210215516
