20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
18/06/2014;02:46;30300777;male;68,0;68,0;27,5
27/01/2015;07:45;30322409;female;54,0;54,0;22,7
23/03/2015;16:00;30327906;male;57,0;57,0;27,0
03/11/2014;13:00;30314512;female;73,0;73,0;26,3
17/06/2014;17:31;30300777;male;73,0;73,0;27,5
26/01/2015;18:00;30322409;female;79,0;79,0;22,7
19/05/2015;13:00;30332480;male;78,0;78,0;28,7
26/01/2015;18:30;30322409;female;92,0;92,0;22,7
20/05/2015;04:00;30332480;male;89,0;89,0;28,7
26/01/2015;21:00;30322409;female;83,0;83,0;22,7
20/05/2015;03:30;30332406;male;80,0;80,0;32,4
04/11/2014;00:45;30314512;female;67,0;67,0;26,3
18/06/2014;07:46;30300775;female;62,0;62,0;24,0
03/11/2014;19:00;30314512;female;75,0;75,0;26,3
19/05/2015;23:00;30332406;male;89,0;89,0;32,4
03/11/2014;19:30;30314490;male;107,0;107,0;27,9
19/05/2015;19:15;30332410;female;60,0;60,0;26,8
20/05/2015;07:15;30332410;female;63,0;63,0;26,8
19/05/2015;13:15;30332410;female;70,0;70,0;26,8
20/05/2015;01:30;30332401;female;44,0;44,0;25,4
03/11/2014;22:45;30314490;male;115,0;115,0;27,9
23/03/2015;15:15;30327906;male;65,0;65,0;27,0
19/05/2015;12:15;30332401;female;61,0;61,0;25,4
17/06/2014;21:16;30300774;female;73,0;73,0;21,5
03/11/2014;23:15;30314490;male;112,0;112,0;27,9
18/06/2014;06:46;30300775;female;40,0;40,0;24,0
17/06/2014;19:16;30300775;female;78,0;78,0;24,0
19/05/2015;20:00;30332410;female;85,0;85,0;26,8
04/11/2014;01:30;30314490;male;74,0;74,0;27,9
23/03/2015;21:45;30327907;male;92,0;92,0;26,2
03/11/2014;23:00;30314512;female;97,0;97,0;26,3
24/03/2015;08:00;30327906;male;51,0;51,0;27,0
24/03/2015;08:30;30327906;male;51,0;51,0;27,0
24/03/2015;09:00;30327907;male;59,0;59,0;26,2
18/06/2014;03:31;30300781;female;64,0;64,0;23,3
20/05/2015;03:15;30332480;male;107,0;107,0;28,7
17/06/2014;18:46;30300774;female;85,0;85,0;21,5
19/05/2015;17:45;30332401;female;72,0;72,0;25,4
17/06/2014;21:16;30300781;female;86,0;86,0;23,3
19/05/2015;19:00;30332406;male;129,0;129,0;32,4
19/05/2015;20:15;30332401;female;48,0;48,0;25,4
19/05/2015;18:00;30332406;male;119,0;119,0;32,4
17/06/2014;17:01;30300774;female;78,0;78,0;21,5
19/05/2015;17:30;30332410;female;65,0;65,0;26,8
20/05/2015;05:15;30332410;female;48,0;48,0;26,8
19/05/2015;18:30;30332410;female;80,0;80,0;26,8
