20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
0;1;26.036911281489598;Ucp1 WT;male;Mean;
84;2;28.65714285714285;Ucp1 KO;male;Mean;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
02/01/2000;04:30;1;male;88,47530186608122;80,47310647639956;26,04149286498353
02/01/2000;04:40;1;male;88,4006586169045;80,29747530186609;26,04149286498353
02/01/2000;05:00;1;male;90,40834248079034;81,71020856201976;26,04149286498353
02/01/2000;05:10;1;male;83,96267837541164;75,32162458836443;26,04149286498353
02/01/2000;05:30;1;male;77,87925356750823;69,13172338090011;26,04149286498353
02/01/2000;05:40;1;male;74,89352360043908;65,60373216245884;26,04149286498353
02/01/2000;06:00;1;male;74,89681668496158;65,03732162458836;26,04149286498353
02/01/2000;06:10;1;male;75,95279912184412;65,77936333699232;26,04149286498353
02/01/2000;06:30;1;male;76,65971459934138;66,34467618002195;26,04149286498353
02/01/2000;06:40;1;male;77,45554335894622;67,1152579582876;26,04149286498353
02/01/2000;07:00;1;male;76,86608122941823;66,44566410537871;26,04149286498353
02/01/2000;07:10;1;male;75,71350164654226;65,09330406147092;26,04149286498353
02/01/2000;07:30;1;male;74,4522502744237;63,71020856201976;26,04149286498353
02/01/2000;07:40;1;male;74,79692645444567;63,69264544456641;26,04149286498353
02/01/2000;08:00;1;male;75,00662251655629;63,50110375275938;26,038300220750557
02/01/2000;08:10;1;male;73,88631346578366;62,37417218543046;26,038300220750557
02/01/2000;08:30;1;male;73,98565121412804;62,31015452538632;26,038300220750557
02/01/2000;08:40;1;male;77,1347438752784;65,1804008908686;26,03975501113586
01/01/2000;12:00;2;male;92,71428571428572;79,57142857142857;28,65714285714285
01/01/2000;12:10;2;male;88,57142857142857;75,0;28,65714285714285
