"";"Datetime";"Animal No._NA";"Box_NA";"TempC_[°C]";"HumC_[%]";"LightC_[%]";"S.Flow_[l/min]";"Ref.O2_[%]";"Ref.CO2_[%]";"Flow_[l/min]";"Temp_[°C]";"O2_[%]";"CO2_[%]";"dO2_[%]";"dCO2_[%]";"VO2(1)_[ml/h/kg]";"VO2(2)_[ml/h/kg]";"VO2(3)_[ml/h]";"VCO2(1)_[ml/h/kg]";"VCO2(2)_[ml/h/kg]";"VCO2(3)_[ml/h]";"RER_NA";"H(1)_[kcal/h/kg]";"H(2)_[kcal/h/kg]";"H(3)_[kcal/h]";"XT+YT_[Cnts]";"XT_[Cnts]";"XA_[Cnts]";"XF_[Cnts]";"YT_[Cnts]";"YA_[Cnts]";"YF_[Cnts]";"Z_[Cnts]";"CenT_[Cnts]";"CenA_[Cnts]";"CenF_[Cnts]";"PerT_[Cnts]";"PerA_[Cnts]";"PerF_[Cnts]";"DistK_[cm]";"DistD_[cm]";"Speed_[cm/s]";"Drink_[ml]";"Feed1_[g]";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2"
"14";"09/11/2020 11:38";6715;3;22,9;53;49;0,35;20,81;0,042;0,35;23,5;20,59;0,215;0,22;0,173;2205;850;49;1638;632;36;0,743;10,5;4,048;0,232;239;144;102;42;95;65;30;20;11;10;1;228;157;71;7074;145;0;0,06;0,03;2020-11-09 11:38:00;11;38;7;900;5400;1,5;1;0,5;1,5;269,143476;269,62201
"15";"09/11/2020 11:53";6722;2;23;55;49;0,35;20,82;0,042;0,35;23,5;20,42;0,361;0,399;0,319;3880;1506;88;2944;1143;67;0,759;18,549;7,2;0,421;533;180;67;113;353;200;153;3;291;131;160;242;136;106;6788;275;0;0,04;0,05;2020-11-09 11:53:00;11;53;8;900;6300;1,8;1;0,833333333333333;1,83333333333333;485,708256;486,23256
"16";"09/11/2020 11:53";6715;3;23;55;49;0,35;20,82;0,042;0,36;23,4;20,54;0,262;0,28;0,22;2893;1116;64;2160;833;48;0,747;13,792;5,318;0,305;1030;594;444;150;436;283;153;216;235;194;41;795;533;262;7811;736;1;0,08;0,03;2020-11-09 11:53:00;11;53;8;900;6300;1,8;1;0,833333333333333;1,83333333333333;351,961344;352,52544
"17";"09/11/2020 12:08";6722;2;23,1;55;49;0,35;20,82;0,042;0,35;23,5;20,46;0,325;0,359;0,283;3493;1356;79;2612;1014;59;0,748;16,653;6,464;0,378;77;31;12;19;46;19;27;0;38;15;23;39;16;23;6819;31;0;0,04;0,05;2020-11-09 12:08:00;12;8;9;900;7200;2;2;0;2;434,584056;435,26156
"18";"09/11/2020 12:08";6715;3;23,1;55;49;0,35;20,82;0,042;0,36;23,4;20,52;0,274;0,294;0,232;3003;1158;66;2238;863;49;0,745;14,309;5,517;0,316;871;479;290;189;392;255;137;67;178;120;58;693;425;268;8317;506;1;0,08;0,03;2020-11-09 12:08:00;12;8;9;900;7200;2;2;0;2;362,73996;363,3531
"19";"09/11/2020 12:23";6722;2;22,9;55;49;0,35;20,82;0,042;0,35;23,5;20,48;0,306;0,335;0,264;3270;1269;74;2444;949;55;0,747;15,592;6,052;0,354;156;54;43;11;102;60;42;14;23;18;5;133;85;48;6914;95;0;0,04;0,05;2020-11-09 12:23:00;12;23;10;900;8100;2,2;2;0,333333333333333;2,33333333333333;406,955304;407,60754
"20";"09/11/2020 12:23";6715;3;22,9;55;49;0,35;20,82;0,042;0,35;23,4;20,59;0,218;0,225;0,176;2253;869;50;1670;644;37;0,741;10,727;4,136;0,237;106;88;26;62;18;3;15;3;0;0;0;106;29;77;8341;24;0;0,09;0,03;2020-11-09 12:23:00;12;23;10;900;8100;2,2;2;0,333333333333333;2,33333333333333;274,4694;274,9815
"21";"09/11/2020 12:38";6722;2;23,1;55;49;0,35;20,82;0,042;0,35;23,5;20,51;0,28;0,306;0,238;2993;1162;68;2195;852;50;0,733;14,225;5,521;0,323;69;41;16;25;28;13;15;0;0;0;0;69;29;40;6934;20;0;0,04;0,05;2020-11-09 12:38:00;12;38;11;900;9000;2,5;2;0,5;2,5;372,370992;373,19692
"22";"09/11/2020 12:38";6715;3;23,1;55;49;0,35;20,82;0,042;0,35;23,4;20,61;0,205;0,211;0,162;2122;818;47;1541;594;34;0,726;10,065;3,881;0,222;55;55;39;16;0;0;0;0;0;0;0;55;39;16;8345;5;0;0,09;0,03;2020-11-09 12:38:00;12;38;11;900;9000;2,5;2;0,5;2,5;256,825296;257,47446
"23";"09/11/2020 12:53";6722;2;22,9;55;49;0,35;20,82;0,042;0,35;23,5;20,53;0,267;0,29;0,225;2857;1109;65;2085;809;47;0,73;13,566;5,266;0,308;56;22;10;12;34;15;19;0;3;1;2;53;24;29;6956;22;0;0,04;0,05;2020-11-09 12:53:00;12;53;12;900;9900;2,8;2;0,833333333333333;2,83333333333333;355,6176;356,4535
"24";"09/11/2020 12:53";6715;3;22,9;55;49;0,35;20,82;0,042;0,35;23,4;20,61;0,203;0,206;0,16;2064;796;46;1522;587;34;0,737;9,819;3,786;0,217;75;42;14;28;33;24;9;6;0;0;0;75;38;37;8372;27;0;0,09;0,03;2020-11-09 12:53:00;12;53;12;900;9900;2,8;2;0,833333333333333;2,83333333333333;252,204936;252,71986
"25";"09/11/2020 13:08";6722;2;23;55;49;0,35;20,82;0,042;0,36;23,5;20,51;0,282;0,307;0,24;3073;1193;70;2270;881;52;0,739;14,622;5,675;0,332;67;22;8;14;45;16;29;0;0;0;0;67;24;43;6982;25;0;0,04;0,05;2020-11-09 13:08:00;13;8;13;900;10800;3;3;0;3;384,02364;384,7739
"26";"09/11/2020 13:08";6715;3;23;55;49;0,35;20,82;0,042;0,35;23,3;20,61;0,203;0,208;0,161;2083;803;46;1529;590;34;0,734;9,899;3,817;0,219;69;21;0;21;48;15;33;0;0;0;0;69;15;54;8383;11;0;0,09;0,03;2020-11-09 13:08:00;13;8;13;900;10800;3;3;0;3;251,974752;252,52252
"27";"09/11/2020 13:23";6722;2;23,1;55;49;0,35;20,82;0,042;0,35;23,5;20,48;0,304;0,334;0,262;3253;1263;74;2417;938;55;0,743;15,494;6,014;0,352;588;336;252;84;252;186;66;101;119;95;24;469;343;126;7424;442;0;0,04;0,05;2020-11-09 13:23:00;13;23;14;900;11700;3,2;3;0,333333333333333;3,33333333333333;406,461576;407,18426
"28";"09/11/2020 13:23";6715;3;23,1;55;49;0,35;20,82;0,042;0,35;23,3;20,61;0,203;0,209;0,161;2113;815;47;1536;592;34;0,727;10,025;3,865;0,222;60;11;8;3;49;34;15;0;0;0;0;60;42;18;8412;29;0;0,09;0,03;2020-11-09 13:23:00;13;23;14;900;11700;3,2;3;0,333333333333333;3,33333333333333;256,903692;257,54167
"29";"09/11/2020 13:38";6722;2;23,1;55;49;0,35;20,82;0,042;0,36;23,6;20,43;0,352;0,389;0,31;3944;1531;90;2986;1159;68;0,757;18,844;7,315;0,428;954;503;347;156;451;280;171;120;245;197;48;709;430;279;8095;672;1;0,04;0,05;2020-11-09 13:38:00;13;38;15;900;12600;3,5;3;0,5;3,5;496,44684;497,0259
"30";"09/11/2020 13:38";6715;3;23,1;55;49;0,35;20,82;0,042;0,35;23,3;20,61;0,206;0,21;0,164;2102;811;46;1554;599;34;0,739;10,004;3,857;0,221;19;6;3;3;13;1;12;0;0;0;0;19;4;15;8414;2;0;0,09;0,04;2020-11-09 13:38:00;13;38;15;900;12600;3,5;3;0,5;3,5;252,358392;252,85142
"31";"09/11/2020 13:53";6722;2;23,1;55;49;0,35;20,82;0,042;0,35;23,6;20,5;0,294;0,316;0,252;3083;1197;70;2331;905;53;0,756;14,73;5,718;0,334;259;126;72;54;133;72;61;15;63;29;34;196;115;81;8222;126;0;0,04;0,05;2020-11-09 13:53:00;13;53;16;900;13500;3,8;3;0,833333333333333;3,83333333333333;386,00856;386,4756
"32";"09/11/2020 13:53";6715;3;23,1;55;49;0,35;20,82;0,042;0,35;23,4;20,55;0,258;0,267;0,215;2664;1027;59;2041;787;45;0,766;12,758;4,919;0,282;985;564;389;175;421;282;139;164;132;108;24;853;563;290;9039;625;1;0,09;0,04;2020-11-09 13:53:00;13;53;16;900;13500;3,8;3;0,833333333333333;3,83333333333333;326,334192;326,58742
"33";"09/11/2020 14:08";6722;2;23;56;49;0,35;20,82;0,042;0,36;23,6;20,47;0,317;0,344;0,274;3496;1357;79;2644;1026;60;0,756;16,703;6,483;0,379;302;188;119;69;114;67;47;28;69;53;16;233;133;100;8364;143;0;0,04;0,07;2020-11-09 14:08:00;14;8;17;900;14400;4;4;0;4;435,638232;436,16532
"34";"09/11/2020 14:08";6715;3;23;56;49;0,35;20,82;0,042;0,35;23,4;20,47;0,333;0,346;0,29;3411;1315;75;2750;1060;61;0,806;16,486;6,356;0,364;2504;1465;1171;294;1039;773;266;494;903;754;149;1601;1190;411;10816;1777;2;0,1;0,13;2020-11-09 14:08:00;14;8;17;900;14400;4;4;0;4;419,8356;419,4435
