20200508_SD_Ucpdd_K1;Test;TX001;TX002;TX003;;;;;;;;;;;;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;;;;;;;;;;;;;
Box;Animal No.;Weight [g];Text1;Text2;Text3;;;;;;;;;;;;;
4;2265;300;Text1-4;Text2-4;Text3-4;;;;;;;;;;;;;
5;2195;300;Text1-5;Text2-5;Text3-5;;;;;;;;;;;;;
7;2262;300;Text1-7;Text2-7;Text3-7;;;;;;;;;;;;;
8;2263;300;Text1-8;Text2-8;Text3-8;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Date;Time;Animal No.;Box;S.Flow;Ref.O2;Ref.CO2;Ref.TD;Flow;Temp;O2;CO2;TD;dO2;dCO2;VO2(3);VCO2(3);RER;
;;;;[l/min];[%];[%];[C];[l/min];[C];[%];[%];[C];[%];[%];[ml/h];[ml/h];;
14.05.2020;16:30;2344;4;0,40;20,75;0,063;-138,606;0,50;25,8;20,32;0,433;-138,606;0,4297;0,3708;135;112;0,833;
14.05.2020;16:35;2344;4;0,40;20,74;0,072;-138,606;0,50;26,8;20,39;0,373;-138,606;0,3487;0,3011;109;91;0,834;
14.05.2020;16:40;2344;4;0,40;20,74;0,069;-138,605;0,51;27,5;20,43;0,329;-138,606;0,3094;0,2608;98;79;0,810;
14.05.2020;16:45;2344;4;0,40;20,75;0,066;-138,606;0,50;28,0;20,44;0,327;-138,605;0,3082;0,2618;96;78;0,817;
14.05.2020;16:50;2344;4;0,40;20,75;0,065;-138,606;0,50;28,4;20,45;0,319;-138,606;0,2947;0,2539;92;76;0,832;
14.05.2020;16:55;2344;4;0,40;20,75;0,062;-138,606;0,50;28,7;20,45;0,319;-138,606;0,3057;0,2569;96;77;0,806;
14.05.2020;17:00;2344;4;0,40;20,75;0,063;-138,606;0,50;29,0;20,46;0,303;-138,606;0,2885;0,2397;90;72;0,795;
14.05.2020;17:05;2344;4;0,40;20,75;0,064;-138,606;0,49;29,2;20,47;0,293;-138,605;0,2787;0,2298;86;68;0,788;
14.05.2020;17:10;2344;4;0,40;20,75;0,063;-138,606;0,50;29,2;20,50;0,274;-138,605;0,2505;0,2112;78;63;0,810;
14.05.2020;17:15;2344;4;0,40;20,76;0,060;-138,606;0,50;29,1;20,52;0,263;-138,606;0,2394;0,2028;75;61;0,815;
14.05.2020;17:20;2344;4;0,40;20,75;0,059;-138,606;0,50;29,1;20,48;0,303;-138,605;0,2775;0,2446;86;74;0,855;
14.05.2020;17:25;2344;4;0,40;20,76;0,059;-138,605;0,52;29,2;20,44;0,330;-138,605;0,3192;0,2711;103;84;0,817;
14.05.2020;17:30;2344;4;0,40;20,75;0,060;-138,606;0,50;29,2;20,56;0,220;-138,606;0,1964;0,1596;62;48;0,774;
14.05.2020;17:35;2344;4;0,40;20,76;0,058;-138,606;0,50;29,2;20,57;0,211;-138,606;0,1866;0,1532;58;46;0,784;
14.05.2020;17:40;2344;4;0,40;20,76;0,057;-138,606;0,50;29,3;20,59;0,197;-138,606;0,1682;0,1400;53;42;0,797;
14.05.2020;17:45;2344;4;0,40;20,76;0,056;-138,605;0,50;29,3;20,59;0,200;-138,606;0,1694;0,1439;53;43;0,817;
14.05.2020;17:50;2344;4;0,40;20,76;0,055;-138,606;0,50;29,4;20,58;0,214;-138,606;0,1805;0,1586;56;48;0,852;
14.05.2020;17:55;2344;4;0,40;20,76;0,052;-138,605;0,50;29,5;20,44;0,338;-138,605;0,3204;0,2853;99;86;0,866;
14.05.2020;18:00;2344;4;0,40;20,76;0,058;-138,606;0,50;29,7;20,49;0,294;-138,605;0,2689;0,2362;84;71;0,851;
14.05.2020;18:05;2344;4;0,40;20,76;0,055;-138,606;0,49;29,7;20,49;0,294;-138,605;0,2738;0,2392;84;71;0,846;
14.05.2020;18:10;2344;4;0,40;20,76;0,051;-138,605;0,50;29,8;20,43;0,346;-138,606;0,3364;0,2942;104;88;0,847;
14.05.2020;18:15;2344;4;0,40;20,76;0,052;-138,605;0,50;29,8;20,55;0,238;-138,605;0,2173;0,1866;68;56;0,828;
14.05.2020;18:20;2344;4;0,40;20,76;0,054;-138,606;0,50;29,8;20,59;0,201;-138,605;0,1731;0,1473;54;44;0,819;
14.05.2020;18:25;2344;4;0,40;20,76;0,056;-138,606;0,50;29,8;20,59;0,206;-138,605;0,1731;0,1498;54;45;0,836;
14.05.2020;18:30;2344;4;0,40;20,76;0,053;-138,605;0,50;29,7;20,51;0,286;-138,605;0,2554;0,2323;79;70;0,889;
