20200508_SD_Ucpdd_K1;Test;TX001;TX002;TX003;;;;;;;;;;;;;;
14.05.2020;18:35;2344;4;0,40;20,77;0,052;-138,606;0,50;29,5;20,45;0,322;-138,605;0,3118;0,2701;97;81;0,837;
14.05.2020;18:40;2344;4;0,40;20,76;0,051;-138,606;0,50;29,4;20,48;0,301;-138,606;0,2873;0,2495;89;74;0,839;
14.05.2020;18:45;2344;4;0,40;20,77;0,051;-138,606;0,50;29,4;20,46;0,316;-138,606;0,3082;0,2647;96;79;0,828;
14.05.2020;18:50;2344;4;0,40;20,76;0,055;-138,606;0,50;29,3;20,51;0,278;-138,605;0,2529;0,2230;79;67;0,855;
14.05.2020;18:55;2344;4;0,40;20,76;0,054;-138,606;0,49;29,4;20,56;0,227;-138,606;0,2001;0,1729;61;51;0,834;
14.05.2020;19:00;2344;4;0,40;20,76;0,054;-138,606;0,50;29,3;20,58;0,209;-138,606;0,1805;0,1557;56;47;0,833;
14.05.2020;19:05;2344;4;0,40;20,76;0,054;-138,606;0,50;29,3;20,60;0,197;-138,606;0,1633;0,1429;51;43;0,848;
14.05.2020;19:10;2344;4;0,40;20,76;0,053;-138,606;0,51;29,4;20,59;0,197;-138,606;0,1694;0,1444;54;44;0,820;
14.05.2020;19:15;2344;4;0,40;20,77;0,050;-138,606;0,50;29,4;20,59;0,199;-138,605;0,1719;0,1483;53;44;0,833;
14.05.2020;19:20;2344;4;0,40;20,77;0,049;-138,606;0,50;29,4;20,59;0,199;-138,605;0,1743;0,1503;54;45;0,832;
14.05.2020;19:25;2344;4;0,40;20,77;0,050;-138,605;0,51;29,5;20,50;0,287;-138,605;0,2701;0,2362;86;73;0,847;
14.05.2020;19:30;2344;4;0,40;20,76;0,051;-138,606;0,50;29,6;20,49;0,290;-138,605;0,2689;0,2387;83;72;0,862;
14.05.2020;19:35;2344;4;0,40;20,77;0,051;-138,606;0,51;29,6;20,49;0,300;-138,605;0,2799;0,2485;88;76;0,862;
14.05.2020;19:40;2344;4;0,40;20,76;0,054;-138,606;0,50;29,6;20,46;0,323;-138,606;0,3020;0,2691;93;80;0,866;
14.05.2020;19:45;2344;4;0,40;20,76;0,054;-138,606;0,50;29,7;20,48;0,305;-138,605;0,2787;0,2505;86;75;0,875;
14.05.2020;19:50;2344;4;0,40;20,76;0,051;-138,605;0,50;29,7;20,47;0,318;-138,606;0,2934;0,2662;90;80;0,886;
14.05.2020;19:55;2344;4;0,40;20,77;0,050;-138,605;0,50;29,7;20,48;0,304;-138,605;0,2873;0,2534;90;77;0,856;
14.05.2020;20:00;2344;4;0,40;20,77;0,049;-138,606;0,50;29,6;20,54;0,252;-138,605;0,2284;0,2023;70;60;0,860;
14.05.2020;20:05;2344;4;0,40;20,77;0,050;-138,606;0,51;29,6;20,58;0,209;-138,606;0,1829;0,1596;58;49;0,844;
14.05.2020;20:10;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,60;0,200;-138,605;0,1719;0,1508;53;45;0,850;
14.05.2020;20:15;2344;4;0,40;20,76;0,052;-138,605;0,49;29,5;20,60;0,198;-138,606;0,1682;0,1459;51;43;0,838;
14.05.2020;20:20;2344;4;0,40;20,76;0,053;-138,605;0,50;29,5;20,59;0,198;-138,605;0,1682;0,1449;52;43;0,831;
14.05.2020;20:25;2344;4;0,40;20,76;0,053;-138,605;0,49;29,5;20,54;0,251;-138,605;0,2234;0,1974;67;58;0,857;
14.05.2020;20:30;2344;4;0,40;20,76;0,053;-138,605;0,50;29,6;20,49;0,297;-138,606;0,2762;0,2441;85;73;0,857;
14.05.2020;20:35;2344;4;0,40;20,76;0,055;-138,605;0,50;29,6;20,44;0,338;-138,606;0,3155;0,2824;98;85;0,871;
14.05.2020;20:40;2344;4;0,40;20,76;0,054;-138,605;0,50;29,6;20,48;0,304;-138,605;0,2836;0,2505;88;75;0,857;
14.05.2020;20:45;2344;4;0,40;20,76;0,054;-138,605;0,50;29,7;20,45;0,329;-138,606;0,3118;0,2755;96;82;0,857;
14.05.2020;20:50;2344;4;0,40;20,76;0,052;-138,605;0,50;29,6;20,45;0,329;-138,605;0,3106;0,2770;97;84;0,867;
14.05.2020;20:55;2344;4;0,40;20,77;0,051;-138,605;0,50;29,7;20,49;0,295;-138,606;0,2750;0,2441;84;73;0,862;
14.05.2020;21:00;2344;4;0,40;20,77;0,049;-138,605;0,50;29,7;20,51;0,270;-138,605;0,2529;0,2205;78;66;0,844;
14.05.2020;21:05;2344;4;0,40;20,77;0,049;-138,605;0,50;29,7;20,52;0,264;-138,605;0,2480;0,2156;77;65;0,841;
14.05.2020;21:10;2344;4;0,40;20,77;0,051;-138,605;0,50;29,6;20,52;0,264;-138,606;0,2492;0,2127;78;64;0,822;
14.05.2020;21:15;2344;4;0,40;20,77;0,050;-138,605;0,49;29,6;20,50;0,280;-138,605;0,2664;0,2298;82;68;0,833;
14.05.2020;21:20;2344;4;0,40;20,77;0,049;-138,605;0,52;29,6;20,53;0,252;-138,606;0,2333;0,2028;75;63;0,841;
14.05.2020;21:25;2344;4;0,40;20,77;0,050;-138,606;0,50;29,6;20,58;0,208;-138,605;0,1842;0,1577;57;47;0,825;
14.05.2020;21:30;2344;4;0,40;20,77;0,049;-138,606;0,50;29,6;20,57;0,214;-138,605;0,1928;0,1650;59;49;0,825;
14.05.2020;21:35;2344;4;0,40;20,77;0,051;-138,606;0,51;29,5;20,59;0,198;-138,605;0,1719;0,1473;55;45;0,826;
14.05.2020;21:40;2344;4;0,40;20,76;0,053;-138,605;0,50;29,5;20,58;0,214;-138,606;0,1829;0,1616;57;49;0,857;
14.05.2020;21:45;2344;4;0,40;20,76;0,054;-138,606;0,50;29,5;20,58;0,210;-138,605;0,1780;0,1562;55;47;0,850;
14.05.2020;21:50;2344;4;0,40;20,76;0,054;-138,606;0,50;29,5;20,59;0,205;-138,606;0,1694;0,1503;52;45;0,861;
14.05.2020;21:55;2344;4;0,40;20,76;0,054;-138,606;0,50;29,6;20,57;0,226;-138,605;0,1903;0,1719;59;52;0,881;
14.05.2020;22:00;2344;4;0,40;20,77;0,052;-138,605;0,50;29,7;20,61;0,188;-138,605;0,1547;0,1360;48;41;0,852;
14.05.2020;22:05;2344;4;0,40;20,76;0,054;-138,605;0,50;29,6;20,62;0,183;-138,606;0,1461;0,1292;45;39;0,858;
14.05.2020;22:10;2344;4;0,40;20,76;0,052;-138,606;0,50;29,6;20,60;0,199;-138,605;0,1633;0,1468;50;44;0,876;
14.05.2020;22:15;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,60;0,203;-138,605;0,1694;0,1537;52;46;0,886;
14.05.2020;22:20;2344;4;0,40;20,77;0,049;-138,606;0,50;29,5;20,60;0,199;-138,605;0,1670;0,1493;51;45;0,870;
14.05.2020;22:25;2344;4;0,40;20,77;0,048;-138,605;0,50;29,5;20,61;0,191;-138,605;0,1621;0,1424;50;43;0,852;
14.05.2020;22:30;2344;4;0,40;20,77;0,049;-138,606;0,51;29,6;20,52;0,271;-138,605;0,2468;0,2225;77;68;0,879;
14.05.2020;22:35;2344;4;0,40;20,77;0,050;-138,606;0,50;29,6;20,49;0,301;-138,605;0,2775;0,2515;85;75;0,884;
14.05.2020;22:40;2344;4;0,40;20,77;0,050;-138,605;0,48;29,7;20,49;0,299;-138,605;0,2775;0,2495;83;72;0,876;
14.05.2020;22:45;2344;4;0,40;20,77;0,049;-138,606;0,50;29,7;20,55;0,243;-138,605;0,2198;0,1940;68;58;0,856;
14.05.2020;22:50;2344;4;0,40;20,77;0,051;-138,606;0,50;29,6;20,50;0,282;-138,605;0,2603;0,2303;80;69;0,859;
14.05.2020;22:55;2344;4;0,40;20,76;0,052;-138,605;0,50;29,6;20,57;0,217;-138,605;0,1891;0,1650;59;50;0,845;
14.05.2020;23:00;2344;4;0,40;20,76;0,054;-138,605;0,51;29,6;20,60;0,194;-138,606;0,1572;0,1400;49;43;0,866;
14.05.2020;23:05;2344;4;0,40;20,76;0,054;-138,606;0,50;29,5;20,61;0,190;-138,605;0,1522;0,1355;47;40;0,865;
14.05.2020;23:10;2344;4;0,40;20,76;0,054;-138,605;0,50;29,6;20,60;0,195;-138,606;0,1621;0,1414;50;42;0,845;
14.05.2020;23:15;2344;4;0,40;20,76;0,052;-138,606;0,50;29,5;20,59;0,203;-138,605;0,1707;0,1503;53;45;0,854;
14.05.2020;23:20;2344;4;0,40;20,76;0,053;-138,605;0,50;29,5;20,60;0,194;-138,605;0,1633;0,1410;51;43;0,833;
14.05.2020;23:25;2344;4;0,40;20,77;0,050;-138,606;0,50;29,5;20,57;0,218;-138,606;0,1928;0,1680;59;50;0,843;
14.05.2020;23:30;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,60;0,199;-138,606;0,1719;0,1498;53;45;0,843;
14.05.2020;23:35;2344;4;0,40;20,77;0,048;-138,606;0,50;29,5;20,55;0,251;-138,605;0,2234;0,2028;69;61;0,886;
14.05.2020;23:40;2344;4;0,40;20,77;0,049;-138,606;0,51;29,5;20,58;0,216;-138,605;0,1891;0,1675;60;52;0,860;
14.05.2020;23:45;2344;4;0,40;20,77;0,051;-138,606;0,50;29,5;20,59;0,209;-138,606;0,1768;0,1581;55;47;0,870;
14.05.2020;23:50;2344;4;0,40;20,77;0,050;-138,606;0,50;29,5;20,53;0,258;-138,605;0,2345;0,2077;72;62;0,860;
14.05.2020;23:55;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,55;0,240;-138,605;0,2136;0,1910;66;58;0,870;
15.05.2020;00:00;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,59;0,204;-138,605;0,1743;0,1552;54;47;0,865;
15.05.2020;00:05;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,60;0,191;-138,605;0,1633;0,1419;50;42;0,840;
15.05.2020;00:10;2344;4;0,40;20,77;0,050;-138,606;0,50;29,6;20,59;0,202;-138,605;0,1756;0,1518;54;45;0,835;
15.05.2020;00:15;2344;4;0,40;20,77;0,050;-138,605;0,50;29,6;20,57;0,226;-138,605;0,1989;0,1763;61;53;0,861;
15.05.2020;00:20;2344;4;0,40;20,77;0,050;-138,605;0,50;29,5;20,59;0,205;-138,604;0,1780;0,1552;56;47;0,843;
15.05.2020;00:25;2344;4;0,40;20,77;0,050;-138,605;0,50;29,5;20,60;0,199;-138,605;0,1682;0,1483;52;44;0,855;
15.05.2020;00:30;2344;4;0,40;20,77;0,052;-138,606;0,50;29,5;20,60;0,199;-138,605;0,1682;0,1468;52;44;0,845;
15.05.2020;00:35;2344;4;0,40;20,76;0,052;-138,605;0,50;29,5;20,58;0,214;-138,605;0,1805;0,1621;55;49;0,875;
15.05.2020;00:40;2344;4;0,40;20,76;0,052;-138,605;0,49;29,5;20,59;0,206;-138,605;0,1694;0,1532;52;45;0,882;
15.05.2020;00:45;2344;4;0,40;20,76;0,053;-138,606;0,52;29,5;20,60;0,194;-138,605;0,1596;0,1414;51;44;0,861;
15.05.2020;00:50;2344;4;0,40;20,77;0,052;-138,605;0,50;29,5;20,58;0,210;-138,605;0,1817;0,1586;56;48;0,845;
15.05.2020;00:55;2344;4;0,40;20,76;0,052;-138,605;0,50;29,6;20,58;0,218;-138,605;0,1829;0,1660;56;50;0,886;
15.05.2020;01:00;2344;4;0,40;20,77;0,051;-138,606;0,50;29,6;20,57;0,225;-138,606;0,1928;0,1743;59;52;0,882;
15.05.2020;01:05;2344;4;0,40;20,77;0,050;-138,605;0,51;29,7;20,58;0,212;-138,605;0,1817;0,1621;57;49;0,867;
15.05.2020;01:10;2344;4;0,40;20,77;0,049;-138,606;0,50;29,6;20,61;0,190;-138,605;0,1608;0,1405;50;42;0,845;
15.05.2020;01:15;2344;4;0,40;20,77;0,048;-138,605;0,50;29,6;20,61;0,189;-138,605;0,1608;0,1410;50;42;0,849;
15.05.2020;01:20;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,56;0,237;-138,605;0,2136;0,1886;66;57;0,856;
15.05.2020;01:25;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,51;0,282;-138,606;0,2591;0,2328;80;70;0,875;
15.05.2020;01:30;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,47;0,323;-138,606;0,2983;0,2740;91;82;0,899;
15.05.2020;01:35;2344;4;0,40;20,77;0,048;-138,605;0,50;29,7;20,49;0,300;-138,605;0,2836;0,2519;87;75;0,863;
15.05.2020;01:40;2344;4;0,40;20,77;0,050;-138,605;0,50;29,7;20,53;0,254;-138,605;0,2320;0,2043;72;62;0,854;
15.05.2020;01:45;2344;4;0,40;20,77;0,049;-138,605;0,49;29,7;20,51;0,275;-138,605;0,2615;0,2259;80;66;0,834;
15.05.2020;01:50;2344;4;0,40;20,77;0,049;-138,606;0,50;29,7;20,48;0,303;-138,605;0,2873;0,2534;89;76;0,856;
15.05.2020;01:55;2344;4;0,40;20,77;0,049;-138,605;0,50;29,7;20,47;0,312;-138,605;0,3020;0,2632;93;79;0,843;
15.05.2020;02:00;2344;4;0,40;20,77;0,051;-138,605;0,50;29,7;20,58;0,212;-138,605;0,1842;0,1611;57;48;0,847;
15.05.2020;02:05;2344;4;0,40;20,77;0,048;-138,605;0,50;29,6;20,61;0,187;-138,605;0,1621;0,1395;50;42;0,830;
15.05.2020;02:10;2344;4;0,40;20,77;0,049;-138,605;0,51;29,6;20,61;0,192;-138,606;0,1608;0,1429;51;44;0,863;
15.05.2020;02:15;2344;4;0,40;20,77;0,049;-138,605;0,51;29,6;20,61;0,188;-138,605;0,1596;0,1390;50;43;0,842;
15.05.2020;02:20;2344;4;0,40;20,77;0,048;-138,606;0,50;29,5;20,61;0,187;-138,605;0,1584;0,1390;49;42;0,850;
15.05.2020;02:25;2344;4;0,40;20,77;0,049;-138,606;0,50;29,5;20,61;0,185;-138,605;0,1621;0,1365;51;41;0,809;
15.05.2020;02:30;2344;4;0,40;20,77;0,048;-138,606;0,50;29,5;20,61;0,191;-138,606;0,1608;0,1429;50;43;0,863;
15.05.2020;02:35;2344;4;0,40;20,77;0,049;-138,605;0,50;29,5;20,60;0,192;-138,605;0,1657;0,1429;51;43;0,832;
15.05.2020;02:40;2344;4;0,40;20,77;0,051;-138,606;0,50;29,5;20,52;0,269;-138,605;0,2468;0,2181;76;65;0,857;
15.05.2020;02:45;2344;4;0,40;20,76;0,052;-138,605;0,50;29,6;20,54;0,255;-138,605;0,2284;0,2023;71;61;0,860;
15.05.2020;02:50;2344;4;0,40;20,77;0,053;-138,605;0,51;29,6;20,59;0,200;-138,605;0,1731;0,1473;55;45;0,819;
15.05.2020;02:55;2344;4;0,40;20,76;0,054;-138,606;0,50;29,5;20,62;0,178;-138,606;0,1461;0,1243;46;37;0,818;
15.05.2020;03:00;2344;4;0,40;20,77;0,051;-138,605;0,50;29,5;20,62;0,176;-138,605;0,1473;0,1247;46;37;0,814;
15.05.2020;03:05;2344;4;0,40;20,77;0,051;-138,605;0,50;29,5;20,62;0,171;-138,605;0,1461;0,1193;46;36;0,779;
15.05.2020;03:10;2344;4;0,40;20,77;0,051;-138,605;0,50;29,6;20,58;0,204;-138,606;0,1842;0,1532;58;46;0,797;
15.05.2020;03:15;2344;4;0,40;20,77;0,050;-138,606;0,48;29,6;20,57;0,219;-138,606;0,1952;0,1689;58;49;0,836;
15.05.2020;03:20;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,57;0,220;-138,605;0,1977;0,1714;62;52;0,838;
15.05.2020;03:25;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,60;0,198;-138,605;0,1707;0,1483;53;44;0,840;
15.05.2020;03:30;2344;4;0,40;20,77;0,051;-138,605;0,50;29,5;20,61;0,189;-138,606;0,1596;0,1380;49;41;0,835;
15.05.2020;03:35;2344;4;0,40;20,76;0,052;-138,605;0,50;29,5;20,61;0,183;-138,605;0,1498;0,1316;46;39;0,852;
15.05.2020;03:40;2344;4;0,40;20,77;0,050;-138,605;0,52;29,6;20,56;0,233;-138,605;0,2063;0,1832;66;57;0,863;
15.05.2020;03:45;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,60;0,198;-138,605;0,1694;0,1493;53;45;0,855;
15.05.2020;03:50;2344;4;0,40;20,77;0,048;-138,605;0,50;29,6;20,61;0,188;-138,605;0,1572;0,1400;49;42;0,866;
15.05.2020;03:55;2344;4;0,40;20,77;0,048;-138,605;0,50;29,6;20,56;0,231;-138,605;0,2063;0,1822;64;55;0,857;
15.05.2020;04:00;2344;4;0,40;20,77;0,050;-138,605;0,50;29,6;20,48;0,310;-138,605;0,2885;0,2603;89;78;0,880;
15.05.2020;04:05;2344;4;0,40;20,77;0,047;-138,605;0,50;29,6;20,51;0,282;-138,606;0,2603;0,2348;80;70;0,879;
15.05.2020;04:10;2344;4;0,40;20,77;0,049;-138,606;0,50;29,7;20,53;0,258;-138,605;0,2345;0,2087;72;63;0,865;
15.05.2020;04:15;2344;4;0,40;20,77;0,050;-138,605;0,50;29,7;20,47;0,312;-138,605;0,3008;0,2618;93;79;0,842;
15.05.2020;04:20;2344;4;0,40;20,76;0,052;-138,605;0,51;29,7;20,51;0,277;-138,605;0,2554;0,2254;80;69;0,856;
15.05.2020;04:25;2344;4;0,40;20,76;0,053;-138,606;0,52;29,7;20,56;0,228;-138,605;0,2038;0,1748;66;54;0,827;
15.05.2020;04:30;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,60;0,196;-138,605;0,1682;0,1464;53;44;0,841;
15.05.2020;04:35;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,61;0,185;-138,605;0,1559;0,1365;48;41;0,848;
15.05.2020;04:40;2344;4;0,40;20,77;0,048;-138,605;0,50;29,6;20,62;0,180;-138,605;0,1510;0,1311;47;39;0,839;
15.05.2020;04:45;2344;4;0,40;20,77;0,051;-138,605;0,49;29,6;20,61;0,183;-138,605;0,1535;0,1321;47;39;0,831;
15.05.2020;04:50;2344;4;0,40;20,77;0,050;-138,605;0,50;29,5;20,61;0,188;-138,605;0,1596;0,1375;50;41;0,831;
15.05.2020;04:55;2344;4;0,40;20,77;0,051;-138,605;0,50;29,5;20,60;0,191;-138,605;0,1633;0,1395;51;42;0,823;
15.05.2020;05:00;2344;4;0,40;20,77;0,049;-138,606;0,51;29,5;20,57;0,218;-138,605;0,1940;0,1685;61;51;0,839;
15.05.2020;05:05;2344;4;0,40;20,77;0,049;-138,606;0,50;29,6;20,52;0,265;-138,605;0,2480;0,2166;77;65;0,845;
15.05.2020;05:10;2344;4;0,40;20,77;0,050;-138,606;0,50;29,6;20,52;0,263;-138,605;0,2443;0,2122;76;64;0,839;
15.05.2020;05:15;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,49;0,293;-138,606;0,2762;0,2441;85;73;0,857;
15.05.2020;05:20;2344;4;0,40;20,77;0,049;-138,606;0,50;29,7;20,54;0,251;-138,605;0,2259;0,2023;69;60;0,872;
15.05.2020;05:25;2344;4;0,40;20,77;0,049;-138,606;0,50;29,6;20,58;0,215;-138,605;0,1928;0,1665;60;50;0,834;
15.05.2020;05:30;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,60;0,193;-138,605;0,1645;0,1444;51;43;0,850;
15.05.2020;05:35;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,61;0,185;-138,605;0,1572;0,1360;49;41;0,836;
15.05.2020;05:40;2344;4;0,40;20,77;0,051;-138,605;0,50;29,6;20,60;0,197;-138,605;0,1657;0,1459;51;44;0,853;
15.05.2020;05:45;2344;4;0,40;20,77;0,049;-138,606;0,50;29,6;20,61;0,185;-138,605;0,1535;0,1355;47;41;0,857;
15.05.2020;05:50;2344;4;0,40;20,77;0,048;-138,606;0,52;29,5;20,62;0,182;-138,605;0,1498;0,1341;48;42;0,871;
15.05.2020;05:55;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,56;0,232;-138,605;0,2038;0,1827;63;55;0,873;
15.05.2020;06:00;2344;4;0,40;20,76;0,051;-138,605;0,49;29,6;20,58;0,214;-138,605;0,1842;0,1626;56;48;0,856;
15.05.2020;06:05;2344;4;0,40;20,77;0,049;-138,606;0,50;29,6;20,60;0,196;-138,605;0,1645;0,1468;51;44;0,868;
15.05.2020;06:10;2344;4;0,40;20,77;0,049;-138,606;0,50;29,6;20,60;0,193;-138,605;0,1633;0,1439;50;43;0,855;
15.05.2020;06:15;2344;4;0,40;20,77;0,049;-138,605;0,50;29,6;20,61;0,193;-138,605;0,1608;0,1439;50;43;0,871;
15.05.2020;06:20;2344;4;0,40;20,77;0,049;-138,605;0,50;29,7;20,56;0,237;-138,606;0,2050;0,1881;63;57;0,898;
15.05.2020;06:25;2344;4;0,40;20,77;0,049;-138,605;0,50;29,8;20,51;0,285;-138,605;0,2529;0,2352;77;71;0,913;
15.05.2020;06:30;2344;4;0,40;20,77;0,049;-138,605;0,50;29,8;20,52;0,278;-138,605;0,2492;0,2284;76;68;0,897;
15.05.2020;06:35;2344;4;0,40;20,77;0,049;-138,606;0,50;29,8;20,51;0,279;-138,606;0,2591;0,2298;80;69;0,862;
15.05.2020;06:40;2344;4;0,40;20,77;0,049;-138,605;0,50;29,9;20,53;0,259;-138,605;0,2370;0,2102;74;64;0,862;
15.05.2020;06:45;2344;4;0,40;20,77;0,049;-138,605;0,48;29,9;20,52;0,263;-138,605;0,2443;0,2136;73;62;0,847;
15.05.2020;06:50;2344;4;0,40;20,77;0,050;-138,606;0,50;29,9;20,53;0,253;-138,605;0,2320;0,2028;72;61;0,846;
15.05.2020;06:55;2344;4;0,40;20,77;0,050;-138,605;0,51;29,9;20,56;0,230;-138,606;0,2063;0,1798;65;55;0,843;
15.05.2020;07:00;2344;4;0,40;20,77;0,050;-138,606;0,50;29,9;20,61;0,189;-138,606;0,1608;0,1395;50;42;0,838;
15.05.2020;07:05;2344;4;0,40;20,77;0,049;-138,605;0,51;29,9;20,62;0,176;-138,605;0,1486;0,1272;47;39;0,825;
15.05.2020;07:10;2344;4;0,40;20,77;0,048;-138,606;0,50;29,9;20,63;0,172;-138,605;0,1436;0,1233;45;37;0,827;
15.05.2020;07:15;2344;4;0,40;20,77;0,049;-138,605;0,50;29,9;20,59;0,212;-138,606;0,1829;0,1631;56;49;0,867;
15.05.2020;07:20;2344;4;0,40;20,77;0,049;-138,605;0,49;29,9;20,60;0,195;-138,605;0,1670;0,1464;51;43;0,849;
15.05.2020;07:25;2344;4;0,40;20,77;0,047;-138,605;0,50;29,9;20,63;0,172;-138,605;0,1424;0,1247;44;38;0,848;
15.05.2020;07:30;2344;4;0,40;20,77;0,048;-138,605;0,50;29,9;20,63;0,170;-138,606;0,1412;0,1213;44;36;0,829;
15.05.2020;07:35;2344;4;0,40;20,77;0,049;-138,605;0,50;29,9;20,63;0,169;-138,606;0,1387;0,1203;43;36;0,838;
15.05.2020;07:40;2344;4;0,40;20,77;0,048;-138,605;0,50;30,0;20,63;0,170;-138,605;0,1400;0,1213;44;37;0,837;
15.05.2020;07:45;2344;4;0,40;20,77;0,049;-138,606;0,50;30,0;20,61;0,186;-138,605;0,1559;0,1375;48;41;0,855;
15.05.2020;07:50;2344;4;0,40;20,77;0,050;-138,606;0,51;30,1;20,58;0,215;-138,606;0,1854;0,1655;58;50;0,868;
