"";"Animal";"Time";"HP2.mean";"HP2.sd";"VO2.mean";"VO2.sd";"VCO2.mean";"VCO2.sd";"RER.mean";"RER.sd"
"55";6715;27;294,409105;16,0817194846851;52,5;3,1091263510296;43;1,82574185835055;0,8175;0,0212994522621279
"56";6722;27;421,2529575;13,8350427137911;74;2,44948974278318;65;2,44948974278318;0,876;0,0177200451466694
"57";6715;28;349,8659775;80,1114658594513;61,75;13,9373598647664;53;12,8322510366134;0,85475;0,0243498802187335
"58";6722;28;453,26462;34,7155708697207;78,5;6,02771377334171;73;5,71547606649408;0,933;0,0139522996909709
"59";6715;29;294,197935;28,3144179416182;51,75;4,85626742811116;45;4,96655480858378;0,87;0,0530911166455055
"60";6722;29;447,4983325;25,3296432395884;77,25;4,3493294502333;72,75;4,27200187265877;0,946;0,00416333199893227
"61";6715;30;335,4080925;43,4271431724426;58,5;7,32575365861197;53;7,7028133388609;0,903;0,0181291661878495
"62";6722;30;467,559635;33,6244204195874;80,75;5,7373048260195;76;5,35412613473634;0,944;0,0136381816969858
"63";6715;31;431,6646375;45,8402502304517;75;8,04155872120988;69;6,83130051063973;0,92025;0,0092150239645194
"64";6722;31;586,8317875;73,573329838359;101,25;13,1497781983829;96;10,9848380355227;0,94975;0,019414341777837
"65";6715;32;497,6774325;40,958307370487;86,5;7,18795288428261;79,75;6,02079728939615;0,91875;0,0051234753829798
"66";6722;32;529,4588275;19,3909147979243;91,25;3,40342964277702;86,75;3,40342964277702;0,95275;0,0145229703114296
"67";6715;33;460,10226;48,5450097430333;80,25;8,61684396980704;72,75;7,13559154286922;0,905;0,0118321595661992
"68";6722;33;518,00955;30,9537277884468;88,75;5,18812747209113;87;5,47722557505166;0,9765;0,00866025403784439
"69";6715;34;437,32375;23,5469432599393;75,75;4,03112887414927;70,5;4,20317340430616;0,93225;0,0160908876904497
"70";6722;34;546,04792;58,2952619998898;93,5;9,74679434480896;91,25;10,5316981853197;0,97825;0,0122031416719903
"71";6715;35;347,2160925;41,5721443780787;60;7,07106781186548;56,5;7,32575365861197;0,94125;0,0149749791318719
"72";6722;35;541,814875;48,6284550675826;92,75;8,34166250416147;90,5;8,18535277187245;0,98025;0,00359397644214131
"73";6715;36;416,963615;35,5358778495251;72;6,16441400296898;68;6,05530070819498;0,945;0,0127801930084538
"74";6722;36;508,0566175;46,6614405705656;87,25;7,88986691902975;84,25;7,67571929311297;0,96675;0,00718215380880509
"75";6715;37;350,84214;31,7354712740944;60,5;5,44671154612273;57,25;5,05799696849784;0,95025;0,0089953691790091
"76";6722;37;538,7400925;48,999057334996;92,25;8,38152730712011;90,25;7,8049129826454;0,979;0,00509901951359279
"77";6715;38;345,17266;53,0634462135659;59,75;9,06917857360853;55,5;8,66025403784439;0,934;0,0109544511501033
"78";6722;38;502,0443325;55,4178872406623;86,25;9,5;83,5;9,32737905308882;0,9655;0,00369684550213648
"79";6715;39;351,9864975;37,3245631166058;60,5;6,35085296108588;58,5;6,45497224367903;0,96325;0,0193455421221531
"80";6722;39;476,4879725;19,7046963957705;82,25;2,98607881119482;77,5;4,79583152331272;0,94575;0,0272687244537278
"81";6715;40;339,4485575;32,5372558320339;58,5;5,44671154612273;55,75;6,29152869605896;0,952;0,0129871731591854
"82";6722;40;484,348495;31,2432094332934;83,5;5,5075705472861;79,5;4,65474668125631;0,95175;0,0126589889011722
"83";6715;41;324,4221725;46,1379829414633;55,75;7,9320026895272;53,5;7,59385716659634;0,9645;0,00785281265959317
"84";6722;41;462,87757;32,7294065783845;80;5,65685424949238;75,5;5,44671154612273;0,94125;0,00499165971062393
"85";6715;42;335,368485;90,6625489853039;58;15,6843871413581;54,75;14,9303940559741;0,939;0,0144683562761404
"86";6722;42;505,975215;24,9372911304997;87,5;4,50924975282289;82;3,55902608401044;0,93925;0,0189626826512846
"87";6715;43;330,6081275;37,4545539831508;57,25;6,70198975429437;53,25;5,1234753829798;0,93475;0,0149972219649729
"88";6722;43;503,77849;82,5657731579614;86,75;14,1509716980849;83,25;13,9134227756269;0,95575;0,00394757309410901
"89";6715;44;304,1988475;26,0486773866357;52,75;4,5;48,5;4,20317340430616;0,92775;0,00903234926989278
"90";6722;44;473,226575;38,5703624585696;81,75;6,9462219947249;77;5,29150262212918;0,944;0,0227888861801829
"91";6715;45;307,2328375;24,1078832159806;53,5;4,20317340430616;48,75;3,86221007541882;0,911;0,00697614984548546
"92";6722;45;453,4959225;44,6880314440577;78,5;7,85281265959316;73,5;7,41619848709566;0,9355;0,0236713610367746
"93";6715;46;306,3415525;25,7002053203749;53,75;4,3493294502333;47,25;4,3493294502333;0,88;0,0174737898961082
"94";6722;46;452,3973625;43,4788015480789;78,25;7,36545993132812;73,25;7,45542308211501;0,9375;0,0177482393492988
"95";6715;47;242,2065925;45,9057384584392;43;8,12403840463596;35,75;6,60176744011279;0,83375;0,00842120339777319
"96";6722;47;390,174595;74,4787031649153;68;12,9614813968157;61,5;11,9023807142381;0,9075;0,0062449979983984
"97";6715;48;191,196625;8,07852589539081;34;1,4142135623731;28;1,4142135623731;0,8275;0,0119023807142381
