211103_TV2_Grp16_PHFD0,00+CD_SPF;;TX001;TX002;TX003;;;;;;;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;;;;;;;;
Box;Animal No.;Weight [g];Diet;Strain;Text3;;;;;;;;
2;6823;39,2;HFD 0,05;Text2-2;Text3-2;;;;;;;;
3;6825;30,4;HFD 0,05;Text2-3;Text3-3;;;;;;;;
4;6827;29,2;CD;Text2-4;Text3-4;;;;;;;;
5;6828;30,1;CD;Text2-5;Text3-5;;;;;;;;
6;6829;30,1;CD;Text2-6;Text3-6;;;;;;;;
;;;;;;;;;;;;;
Date;Time;Animal No.;Box;S.Flow;Ref.O2;Ref.CO2;Ref.TD;Flow;O2;CO2;VO2(3);VCO2(3);RER
;;;;[l/min];[%];[%];[°C];[l/min];[%];[%];[ml/h];[ml/h];
03.11.2021;09:21;6823;2;0,55;20,75;0,059;-138,598;0,7;20,41;0,356;150;125;0,836
03.11.2021;09:27;6823;2;0,55;20,74;0,059;-138,595;0,7;20,44;0,323;133;111;0,837
03.11.2021;09:33;6823;2;0,55;20,75;0,058;-138,594;0,7;20,48;0,286;113;96;0,845
03.11.2021;09:39;6823;2;0,55;20,75;0,056;-138,594;0,7;20,42;0,351;141;124;0,878
03.11.2021;09:45;6823;2;0,55;20,75;0,054;-138,594;0,7;20,42;0,354;144;127;0,885
03.11.2021;09:51;6823;2;0,55;20,75;0,053;-138,595;0,7;20,45;0,323;129;114;0,881
03.11.2021;09:57;6823;2;0,55;20,75;0,051;-138,594;0,7;20,44;0,336;136;119;0,878
03.11.2021;10:03;6823;2;0,55;20,75;0,05;-138,594;0,7;20,43;0,344;141;124;0,88
03.11.2021;10:09;6823;2;0,55;20,75;0,05;-138,594;0,7;20,43;0,343;138;124;0,899
03.11.2021;10:15;6823;2;0,55;20,76;0,049;-138,594;0,7;20,44;0,339;135;122;0,905
03.11.2021;10:21;6823;2;0,55;20,76;0,048;-138,594;0,7;20,43;0,349;139;126;0,908
03.11.2021;10:27;6823;2;0,55;20,76;0,047;-138,594;0,7;20,47;0,312;125;111;0,891
03.11.2021;10:33;6823;2;0,55;20,76;0,047;-138,594;0,7;20,43;0,349;138;127;0,92
03.11.2021;10:39;6823;2;0,55;20,76;0,047;-138,594;0,7;20,43;0,347;140;126;0,902
03.11.2021;10:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,46;0,316;126;113;0,9
03.11.2021;10:51;6823;2;0,55;20,76;0,046;-138,595;0,7;20,42;0,354;145;129;0,891
03.11.2021;10:57;6823;2;0,55;20,76;0,046;-138,595;0,7;20,49;0,283;118;100;0,842
03.11.2021;11:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,49;0,28;115;99;0,86
03.11.2021;11:09;6823;2;0,55;20,76;0,046;-138,595;0,7;20,51;0,265;109;92;0,842
03.11.2021;11:15;6823;2;0,55;20,76;0,046;-138,595;0,7;20,49;0,281;115;99;0,864
03.11.2021;11:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,288;116;102;0,88
03.11.2021;11:27;6823;2;0,55;20,76;0,045;-138,594;0,69;20,48;0,296;118;104;0,88
03.11.2021;11:33;6823;2;0,55;20,76;0,045;-138,594;0,71;20,42;0,362;148;134;0,907
03.11.2021;11:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,47;0,308;123;111;0,904
03.11.2021;11:45;6823;2;0,55;20,76;0,045;-138,594;0,7;20,44;0,345;137;127;0,926
03.11.2021;11:51;6823;2;0,55;20,76;0,045;-138,594;0,69;20,48;0,311;120;111;0,922
03.11.2021;11:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,294;115;104;0,908
03.11.2021;12:03;6823;2;0,55;20,76;0,045;-138,595;0,7;20,5;0,29;112;103;0,92
03.11.2021;12:09;6823;2;0,55;20,76;0,045;-138,594;0,7;20,5;0,289;114;103;0,905
03.11.2021;12:15;6823;2;0,55;20,76;0,044;-138,595;0,7;20,51;0,27;106;95;0,896
03.11.2021;12:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,291;115;103;0,898
03.11.2021;12:27;6823;2;0,55;20,76;0,045;-138,595;0,7;20,5;0,278;111;98;0,888
03.11.2021;12:33;6823;2;0,55;20,76;0,045;-138,595;0,7;20,5;0,276;110;96;0,879
03.11.2021;12:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,52;0,262;104;91;0,872
03.11.2021;12:45;6823;2;0,55;20,76;0,045;-138,595;0,7;20,48;0,3;122;107;0,88
03.11.2021;12:51;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,297;117;106;0,906
03.11.2021;12:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,42;0,372;146;137;0,942
03.11.2021;13:03;6823;2;0,55;20,76;0,044;-138,594;0,7;20,5;0,282;110;100;0,906
03.11.2021;13:09;6823;2;0,55;20,76;0,044;-138,595;0,7;20,53;0,253;99;88;0,894
03.11.2021;13:15;6823;2;0,55;20,76;0,044;-138,595;0,71;20,53;0,255;100;90;0,898
03.11.2021;13:21;6823;2;0,55;20,76;0,044;-138,595;0,7;20,52;0,263;101;92;0,904
03.11.2021;13:27;6823;2;0,55;20,76;0,044;-138,595;0,7;20,51;0,276;106;98;0,919
03.11.2021;13:33;6823;2;0,55;20,76;0,044;-138,595;0,7;20,51;0,275;108;97;0,898
03.11.2021;13:39;6823;2;0,55;20,76;0,044;-138,594;0,7;20,52;0,257;102;89;0,877
03.11.2021;13:45;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,276;108;97;0,905
03.11.2021;13:51;6823;2;0,55;20,76;0,044;-138,595;0,69;20,52;0,264;103;91;0,883
03.11.2021;13:57;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,269;106;94;0,894
03.11.2021;14:03;6823;2;0,55;20,76;0,045;-138,595;0,7;20,5;0,286;112;102;0,904
03.11.2021;14:09;6823;2;0,55;20,76;0,044;-138,594;0,7;20,46;0,322;127;117;0,923
03.11.2021;14:15;6823;2;0,55;20,76;0,044;-138,594;0,7;20,5;0,286;112;101;0,904
03.11.2021;14:21;6823;2;0,55;20,76;0,044;-138,594;0,7;20,52;0,261;105;91;0,872
03.11.2021;14:27;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,268;110;94;0,86
03.11.2021;14:33;6823;2;0,55;20,76;0,044;-138,595;0,7;20,52;0,253;105;88;0,838
03.11.2021;14:39;6823;2;0,55;20,76;0,044;-138,594;0,7;20,52;0,246;102;84;0,828
03.11.2021;14:45;6823;2;0,55;20,76;0,044;-138,594;0,7;20,53;0,239;100;82;0,825
03.11.2021;14:51;6823;2;0,55;20,76;0,044;-138,594;0,71;20,54;0,234;99;81;0,813
03.11.2021;14:57;6823;2;0,55;20,76;0,044;-138,594;0,7;20,52;0,245;102;85;0,826
03.11.2021;15:03;6823;2;0,55;20,76;0,044;-138,594;0,7;20,48;0,281;120;100;0,833
03.11.2021;15:09;6823;2;0,55;20,76;0,044;-138,595;0,69;20,53;0,241;97;81;0,841
03.11.2021;15:15;6823;2;0,55;20,76;0,044;-138,595;0,7;20,49;0,292;114;104;0,907
03.11.2021;15:21;6823;2;0,55;20,76;0,044;-138,594;0,7;20,48;0,301;118;108;0,92
03.11.2021;15:27;6823;2;0,55;20,76;0,044;-138,594;0,7;20,49;0,298;115;107;0,925
03.11.2021;15:33;6823;2;0,55;20,76;0,044;-138,594;0,7;20,5;0,279;109;99;0,903
03.11.2021;15:39;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,277;107;98;0,913
03.11.2021;15:45;6823;2;0,55;20,76;0,044;-138,594;0,7;20,53;0,259;100;90;0,895
03.11.2021;15:51;6823;2;0,55;20,76;0,044;-138,594;0,71;20,55;0,24;93;83;0,895
03.11.2021;15:57;6823;2;0,55;20,76;0,044;-138,594;0,7;20,54;0,243;95;84;0,883
03.11.2021;16:03;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,264;106;92;0,867
03.11.2021;16:09;6823;2;0,55;20,76;0,044;-138,594;0,7;20,53;0,254;100;88;0,882
03.11.2021;16:15;6823;2;0,55;20,76;0,044;-138,595;0,71;20,53;0,257;102;90;0,885
03.11.2021;16:21;6823;2;0,55;20,76;0,044;-138,594;0,7;20,54;0,243;93;83;0,895
03.11.2021;16:27;6823;2;0,55;20,76;0,044;-138,594;0,7;20,52;0,267;104;93;0,901
03.11.2021;16:33;6823;2;0,55;20,76;0,044;-138,594;0,7;20,52;0,262;104;91;0,874
03.11.2021;16:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,27;108;94;0,875
03.11.2021;16:45;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,266;106;93;0,882
03.11.2021;16:51;6823;2;0,55;20,76;0,044;-138,595;0,7;20,51;0,264;108;92;0,854
03.11.2021;16:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,259;106;90;0,847
03.11.2021;17:03;6823;2;0,55;20,76;0,045;-138,594;0,69;20,52;0,258;101;88;0,868
03.11.2021;17:09;6823;2;0,55;20,76;0,045;-138,594;0,71;20,5;0,279;111;100;0,896
03.11.2021;17:15;6823;2;0,55;20,76;0,045;-138,594;0,7;20,5;0,281;110;100;0,907
03.11.2021;17:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,295;114;105;0,918
03.11.2021;17:27;6823;2;0,55;20,76;0,045;-138,594;0,7;20,42;0,361;143;133;0,932
03.11.2021;17:33;6823;2;0,55;20,76;0,045;-138,594;0,7;20,44;0,342;134;125;0,93
03.11.2021;17:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,43;0,351;139;129;0,926
03.11.2021;17:45;6823;2;0,55;20,76;0,045;-138,594;0,71;20,41;0,372;153;139;0,913
03.11.2021;17:51;6823;2;0,55;20,76;0,045;-138,594;0,71;20,46;0,324;130;119;0,91
03.11.2021;17:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,48;0,301;118;108;0,912
03.11.2021;18:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,5;0,289;111;102;0,918
03.11.2021;18:09;6823;2;0,55;20,76;0,046;-138,594;0,7;20,49;0,298;115;106;0,919
03.11.2021;18:15;6823;2;0,55;20,76;0,046;-138,594;0,7;20,44;0,347;137;126;0,925
03.11.2021;18:21;6823;2;0,55;20,76;0,046;-138,594;0,7;20,41;0,373;150;137;0,917
03.11.2021;18:27;6823;2;0,55;20,76;0,046;-138,594;0,7;20,47;0,318;124;114;0,915
03.11.2021;18:33;6823;2;0,55;20,76;0,046;-138,594;0,7;20,43;0,355;142;130;0,916
03.11.2021;18:39;6823;2;0,55;20,76;0,046;-138,594;0,71;20,44;0,344;138;126;0,914
03.11.2021;18:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,48;0,304;121;109;0,905
03.11.2021;18:51;6823;2;0,55;20,76;0,046;-138,594;0,7;20,48;0,296;118;105;0,893
03.11.2021;18:57;6823;2;0,55;20,76;0,046;-138,594;0,7;20,5;0,274;110;97;0,881
03.11.2021;19:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,272;107;95;0,89
03.11.2021;19:09;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,266;107;93;0,867
03.11.2021;19:15;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,257;102;89;0,87
03.11.2021;19:21;6823;2;0,55;20,76;0,046;-138,594;0,71;20,5;0,282;113;100;0,882
03.11.2021;19:27;6823;2;0,55;20,76;0,047;-138,594;0,7;20,5;0,285;112;100;0,89
03.11.2021;19:33;6823;2;0,55;20,76;0,046;-138,594;0,7;20,48;0,306;121;109;0,899
03.11.2021;19:39;6823;2;0,55;20,76;0,046;-138,594;0,7;20,4;0,384;154;142;0,923
03.11.2021;19:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,43;0,355;139;130;0,935
03.11.2021;19:51;6823;2;0,55;20,76;0,046;-138,594;0,7;20,5;0,289;112;102;0,916
03.11.2021;19:57;6823;2;0,55;20,76;0,046;-138,594;0,7;20,47;0,317;125;114;0,908
03.11.2021;20:03;6823;2;0,55;20,76;0,047;-138,594;0,7;20,41;0,371;147;136;0,929
03.11.2021;20:09;6823;2;0,55;20,76;0,047;-138,594;0,7;20,48;0,303;118;108;0,916
03.11.2021;20:15;6823;2;0,55;20,76;0,047;-138,594;0,7;20,41;0,371;148;136;0,919
03.11.2021;20:21;6823;2;0,55;20,76;0,047;-138,594;0,7;20,42;0,359;144;131;0,914
03.11.2021;20:27;6823;2;0,55;20,76;0,047;-138,594;0,7;20,45;0,328;132;118;0,895
03.11.2021;20:33;6823;2;0,55;20,76;0,047;-138,594;0,7;20,44;0,336;134;121;0,9
03.11.2021;20:39;6823;2;0,55;20,76;0,047;-138,594;0,7;20,48;0,295;119;104;0,874
03.11.2021;20:45;6823;2;0,55;20,76;0,047;-138,594;0,7;20,49;0,284;116;100;0,865
03.11.2021;20:51;6823;2;0,55;20,76;0,047;-138,594;0,7;20,52;0,256;103;88;0,851
03.11.2021;20:57;6823;2;0,55;20,76;0,047;-138,594;0,7;20,53;0,246;100;83;0,834
03.11.2021;21:03;6823;2;0,55;20,76;0,047;-138,594;0,7;20,51;0,262;107;90;0,838
03.11.2021;21:09;6823;2;0,55;20,76;0,047;-138,594;0,71;20,51;0,263;109;92;0,843
03.11.2021;21:15;6823;2;0,55;20,76;0,047;-138,594;0,7;20,51;0,263;109;91;0,831
03.11.2021;21:21;6823;2;0,55;20,76;0,047;-138,594;0,7;20,49;0,275;115;96;0,831
03.11.2021;21:27;6823;2;0,55;20,76;0,047;-138,594;0,7;20,52;0,249;104;85;0,817
03.11.2021;21:33;6823;2;0,55;20,76;0,047;-138,594;0,71;20,47;0,292;124;104;0,834
03.11.2021;21:39;6823;2;0,55;20,76;0,047;-138,594;0,7;20,43;0,343;141;125;0,881
03.11.2021;21:45;6823;2;0,55;20,76;0,047;-138,594;0,71;20,44;0,336;138;123;0,887
03.11.2021;21:51;6823;2;0,55;20,76;0,047;-138,594;0,7;20,43;0,346;140;126;0,898
03.11.2021;21:57;6823;2;0,55;20,76;0,047;-138,594;0,7;20,49;0,295;118;105;0,889
03.11.2021;22:03;6823;2;0,55;20,76;0,047;-138,594;0,71;20,44;0,336;136;123;0,906
03.11.2021;22:09;6823;2;0,55;20,76;0,047;-138,594;0,7;20,43;0,351;139;128;0,919
03.11.2021;22:15;6823;2;0,55;20,76;0,046;-138,594;0,7;20,49;0,288;113;102;0,898
03.11.2021;22:21;6823;2;0,55;20,76;0,046;-138,594;0,7;20,49;0,289;116;102;0,885
03.11.2021;22:27;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,272;109;96;0,876
03.11.2021;22:33;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,265;107;92;0,862
03.11.2021;22:39;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,259;105;89;0,85
03.11.2021;22:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,49;0,273;115;95;0,832
03.11.2021;22:51;6823;2;0,55;20,76;0,046;-138,594;0,71;20,46;0,306;131;110;0,842
03.11.2021;22:57;6823;2;0,55;20,76;0,046;-138,594;0,7;20,42;0,347;145;126;0,871
03.11.2021;23:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,49;0,284;116;100;0,865
03.11.2021;23:09;6823;2;0,55;20,76;0,046;-138,594;0,7;20,46;0,315;128;113;0,88
03.11.2021;23:15;6823;2;0,55;20,76;0,046;-138,594;0,7;20,46;0,321;130;115;0,89
03.11.2021;23:21;6823;2;0,55;20,76;0,046;-138,594;0,7;20,47;0,311;125;112;0,893
03.11.2021;23:27;6823;2;0,55;20,76;0,046;-138,594;0,7;20,46;0,321;129;116;0,894
03.11.2021;23:33;6823;2;0,55;20,76;0,046;-138,593;0,7;20,49;0,29;116;103;0,886
03.11.2021;23:39;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,266;106;93;0,875
03.11.2021;23:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,264;105;91;0,871
03.11.2021;23:51;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,257;103;88;0,862
03.11.2021;23:57;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,256;103;88;0,854
04.11.2021;00:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,53;0,241;97;82;0,844
04.11.2021;00:09;6823;2;0,55;20,76;0,046;-138,594;0,7;20,45;0,319;135;115;0,854
04.11.2021;00:15;6823;2;0,55;20,76;0,046;-138,594;0,7;20,42;0,35;145;128;0,881
04.11.2021;00:21;6823;2;0,55;20,76;0,046;-138,594;0,7;20,4;0,374;157;138;0,882
04.11.2021;00:27;6823;2;0,55;20,76;0,046;-138,594;0,7;20,49;0,296;117;105;0,895
04.11.2021;00:33;6823;2;0,55;20,76;0,046;-138,593;0,7;20,5;0,278;109;98;0,897
04.11.2021;00:39;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,264;103;92;0,893
04.11.2021;00:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,262;101;91;0,895
04.11.2021;00:51;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,268;104;93;0,89
04.11.2021;00:57;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,269;105;94;0,898
04.11.2021;01:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,55;0,236;92;80;0,871
04.11.2021;01:09;6823;2;0,55;20,76;0,046;-138,594;0,7;20,53;0,258;100;89;0,889
04.11.2021;01:15;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,267;105;93;0,88
04.11.2021;01:21;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,264;108;92;0,855
04.11.2021;01:27;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,252;102;86;0,845
04.11.2021;01:33;6823;2;0,55;20,76;0,046;-138,594;0,7;20,54;0,236;96;80;0,83
04.11.2021;01:39;6823;2;0,55;20,76;0,046;-138,594;0,7;20,53;0,237;99;81;0,816
04.11.2021;01:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,51;0,258;107;89;0,835
04.11.2021;01:51;6823;2;0,55;20,76;0,046;-138,594;0,7;20,5;0,267;111;92;0,834
04.11.2021;01:57;6823;2;0,55;20,76;0,046;-138,593;0,7;20,5;0,262;111;91;0,821
04.11.2021;02:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,53;0,248;100;85;0,844
04.11.2021;02:09;6823;2;0,55;20,76;0,046;-138,594;0,7;20,5;0,275;110;96;0,87
04.11.2021;02:15;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,26;103;90;0,868
04.11.2021;02:21;6823;2;0,55;20,76;0,047;-138,594;0,71;20,5;0,282;113;100;0,882
04.11.2021;02:27;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,26;103;90;0,873
04.11.2021;02:33;6823;2;0,55;20,76;0,047;-138,594;0,7;20,5;0,277;111;97;0,869
04.11.2021;02:39;6823;2;0,55;20,76;0,047;-138,594;0,7;20,52;0,253;103;87;0,839
04.11.2021;02:45;6823;2;0,55;20,76;0,047;-138,594;0,7;20,52;0,256;104;87;0,841
04.11.2021;02:51;6823;2;0,55;20,76;0,047;-138,594;0,7;20,51;0,259;107;89;0,832
04.11.2021;02:57;6823;2;0,55;20,76;0,047;-138,594;0,7;20,49;0,275;114;96;0,838
04.11.2021;03:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,53;0,238;97;81;0,832
04.11.2021;03:09;6823;2;0,55;20,76;0,047;-138,594;0,7;20,54;0,226;93;75;0,808
04.11.2021;03:15;6823;2;0,55;20,76;0,047;-138,593;0,7;20,51;0,253;106;86;0,816
04.11.2021;03:21;6823;2;0,55;20,76;0,046;-138,593;0,7;20,51;0,263;109;91;0,833
04.11.2021;03:27;6823;2;0,55;20,76;0,046;-138,593;0,7;20,5;0,264;111;92;0,827
04.11.2021;03:33;6823;2;0,55;20,76;0,047;-138,594;0,7;20,53;0,239;101;81;0,804
04.11.2021;03:39;6823;2;0,55;20,76;0,047;-138,594;0,7;20,53;0,239;102;81;0,799
04.11.2021;03:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,249;104;85;0,817
04.11.2021;03:51;6823;2;0,55;20,76;0,046;-138,594;0,7;20,54;0,228;94;76;0,813
04.11.2021;03:57;6823;2;0,55;20,76;0,046;-138,594;0,69;20,54;0,236;92;78;0,847
04.11.2021;04:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,52;0,256;103;89;0,859
04.11.2021;04:09;6823;2;0,55;20,76;0,046;-138,594;0,7;20,53;0,251;99;86;0,87
04.11.2021;04:15;6823;2;0,55;20,76;0,046;-138,594;0,7;20,46;0,311;129;112;0,868
04.11.2021;04:21;6823;2;0,55;20,76;0,046;-138,594;0,7;20,42;0,35;144;128;0,889
04.11.2021;04:27;6823;2;0,55;20,76;0,046;-138,593;0,7;20,45;0,327;131;118;0,9
04.11.2021;04:33;6823;2;0,55;20,76;0,046;-138,594;0,7;20,41;0,375;150;139;0,922
04.11.2021;04:39;6823;2;0,55;20,76;0,046;-138,594;0,7;20,45;0,337;133;122;0,921
04.11.2021;04:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,42;0,353;144;130;0,906
04.11.2021;04:51;6823;2;0,55;20,76;0,046;-138,594;0,7;20,44;0,339;136;123;0,902
04.11.2021;04:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,37;0,394;165;146;0,886
04.11.2021;05:03;6823;2;0,55;20,76;0,045;-138,594;0,71;20,41;0,364;152;136;0,892
04.11.2021;05:09;6823;2;0,55;20,76;0,045;-138,593;0,7;20,41;0,361;148;132;0,895
04.11.2021;05:15;6823;2;0,55;20,76;0,046;-138,594;0,71;20,42;0,363;148;135;0,909
04.11.2021;05:21;6823;2;0,55;20,76;0,046;-138,594;0,7;20,4;0,379;153;140;0,912
04.11.2021;05:27;6823;2;0,55;20,76;0,046;-138,594;0,7;20,45;0,335;133;121;0,91
04.11.2021;05:33;6823;2;0,55;20,76;0,046;-138,594;0,7;20,43;0,342;139;124;0,889
04.11.2021;05:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,37;0,4;165;149;0,901
04.11.2021;05:45;6823;2;0,55;20,76;0,045;-138,593;0,7;20,49;0,291;117;104;0,883
04.11.2021;05:51;6823;2;0,55;20,76;0,045;-138,594;0,7;20,42;0,35;144;128;0,895
04.11.2021;05:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,42;0,349;143;127;0,885
04.11.2021;06:03;6823;2;0,55;20,76;0,045;-138,594;0,7;20,44;0,332;136;121;0,888
04.11.2021;06:09;6823;2;0,55;20,76;0,045;-138,594;0,7;20,47;0,308;122;111;0,909
04.11.2021;06:15;6823;2;0,55;20,76;0,045;-138,594;0,7;20,45;0,329;134;119;0,894
04.11.2021;06:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,44;0,333;135;122;0,898
04.11.2021;06:27;6823;2;0,55;20,76;0,045;-138,594;0,7;20,46;0,321;130;116;0,891
04.11.2021;06:33;6823;2;0,55;20,76;0,045;-138,594;0,7;20,5;0,271;110;95;0,859
04.11.2021;06:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,274;109;97;0,883
04.11.2021;06:45;6823;2;0,55;20,76;0,045;-138,594;0,71;20,51;0,264;108;93;0,862
04.11.2021;06:51;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,289;116;102;0,882
04.11.2021;06:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,269;107;94;0,875
04.11.2021;07:03;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,265;106;93;0,878
04.11.2021;07:09;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,27;109;95;0,867
04.11.2021;07:15;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,267;106;93;0,876
04.11.2021;07:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,264;105;91;0,867
04.11.2021;07:27;6823;2;0,55;20,76;0,044;-138,594;0,7;20,53;0,259;99;89;0,904
04.11.2021;07:33;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,274;108;97;0,898
04.11.2021;07:39;6823;2;0,55;20,76;0,044;-138,594;0,7;20,5;0,284;112;101;0,897
04.11.2021;07:45;6823;2;0,55;20,76;0,044;-138,594;0,7;20,49;0,296;118;106;0,899
04.11.2021;07:51;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,276;108;98;0,902
04.11.2021;07:57;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,281;108;99;0,921
04.11.2021;08:03;6823;2;0,55;20,76;0,045;-138,594;0,7;20,5;0,29;112;103;0,914
04.11.2021;08:09;6823;2;0,55;20,76;0,044;-138,594;0,7;20,49;0,292;114;104;0,907
04.11.2021;08:15;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,267;105;93;0,89
04.11.2021;08:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,52;0,256;102;89;0,872
04.11.2021;08:27;6823;2;0,55;20,76;0,045;-138,594;0,7;20,52;0,259;103;90;0,873
04.11.2021;08:33;6823;2;0,55;20,76;0,045;-138,594;0,7;20,53;0,255;100;88;0,882
04.11.2021;08:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,266;105;93;0,886
04.11.2021;08:45;6823;2;0,55;20,76;0,045;-138,594;0,7;20,45;0,329;135;119;0,887
04.11.2021;08:51;6823;2;0,55;20,76;0,045;-138,594;0,7;20,52;0,258;100;89;0,888
04.11.2021;08:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,48;0,301;118;108;0,909
04.11.2021;09:03;6823;2;0,55;20,76;0,045;-138,594;0,7;20,48;0,308;119;110;0,929
04.11.2021;09:09;6823;2;0,55;20,76;0,045;-138,594;0,71;20,52;0,264;104;93;0,895
04.11.2021;09:15;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,272;106;96;0,897
04.11.2021;09:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,296;117;106;0,904
04.11.2021;09:27;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,276;108;97;0,898
04.11.2021;09:33;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,276;108;97;0,9
04.11.2021;09:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,52;0,259;102;90;0,885
04.11.2021;09:45;6823;2;0,55;20,76;0,045;-138,594;0,7;20,52;0,264;104;92;0,884
04.11.2021;09:51;6823;2;0,55;20,76;0,045;-138,594;0,7;20,48;0,296;119;105;0,887
04.11.2021;09:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,54;0,246;96;85;0,882
04.11.2021;10:03;6823;2;0,55;20,76;0,045;-138,594;0,7;20,55;0,233;90;79;0,878
04.11.2021;10:09;6823;2;0,55;20,76;0,045;-138,594;0,7;20,53;0,259;100;90;0,902
04.11.2021;10:15;6823;2;0,55;20,76;0,045;-138,594;0,7;20,52;0,269;105;95;0,905
04.11.2021;10:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,283;107;100;0,933
04.11.2021;10:27;6823;2;0,55;20,76;0,045;-138,594;0,71;20,5;0,297;113;108;0,954
04.11.2021;10:33;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,293;112;104;0,923
04.11.2021;10:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,51;0,278;104;97;0,939
04.11.2021;10:45;6823;2;0,55;20,76;0,045;-138,594;0,7;20,5;0,284;108;100;0,927
04.11.2021;10:51;6823;2;0,55;20,76;0,045;-138,594;0,7;20,47;0,318;120;114;0,946
