"";"CoV1";"Animal";"Time";"O2";"CO2";"HP";"CoV2"
"74";0,138746932261081;"6722";9;78;72;452,892024;0,138518314081129
"75";0,142686470023573;"6722";9,33333333333333;101;92;584,247024;0,142442054089632
"76";0,137470625788334;"6722";9,33333333333333;73;67;423,616956;0,13719761356216
"77";0,137319444541557;"6722";9,5;94;88;546,890496;0,137020970132358
"78";0,136610912509799;"6722";9,5;77;72;447,727896;0,136320176659605
"79";0,11739398848965;"6722";9,83333333333333;84;77;486,608976;0,117324635583869
"80";0,11096601994702;"6722";9,83333333333333;72;68;420,336;0,110855615097833
"81";0,112982988644081;"6722";10;77;69;443,74638;0,112897552847324
"82";0,111610444025664;"6722";10;79;74;460,147824;0,111598747537016
"83";0,110097204821691;"6722";10,3333333333333;100;92;579,1296;0,110154189871926
"84";0,106802346595364;"6722";10,3333333333333;79;75;460,279596;0,10687445335843
"85";0,106609587936298;"6722";10,5;87;81;504,132984;0,106855021771059
"86";0,0475834083179633;"6722";10,5;69;65;403,052184;0,0486142576348275
"87";0,0401918014611622;"6722";10,8333333333333;82;76;476,527584;0,0411419366436916
"88";0,0528816287921984;"6722";10,8333333333333;80;75;465,30528;0,0532834708270631
"89";0,052693683383393;"6722";11;96;91;560,448;0,0530524479837396
"90";0,0628025012279204;"6722";11;68;64;395,509488;0,0630761852116294
"91";0,087806584142633;"6722";11,3333333333333;96;93;562,529664;0,0880990416519001
"92";0,0914285784441631;"6722";11,3333333333333;53;48;306,143052;0,0916159580572586
"93";0,0933607549562912;"6722";11,5;101;97;591,659616;0,0934663580712762
"94";0,0963545369052256;"6722";11,5;51;48;296,206776;0,0964712884874886
"95";0,0980819441774927;"6722";11,8333333333333;104;100;608,366304;0,0981042561199227
"96";0,0979822449404576;"6722";11,8333333333333;58;55;337,733304;0,098015484824202
"97";0,0979641885190082;"6722";12;93;89;543,864744;0,0980102683474059
"98";0,0979449350071316;"6722";12;80;76;466,23936;0,0979843511942714
"99";0,147006760719113;"6722";12,3333333333333;93;90;545,726232;0,147482026241606
"100";0,160148811619969;"6722";12,3333333333333;70;66;407,72592;0,160653192926548
"101";0,155960086010088;"6722";12,5;75;71;437,9751;0,156377676669978
"102";0,162054564195638;"6722";12,5;64;60;373,311744;0,162436806439498
"103";0,168999171960834;"6722";12,8333333333333;78;74;455,233896;0,169493170269341
"104";0,166404197666879;"6722";12,8333333333333;80;76;467,30688;0,166794070592355
"105";0,166505996437642;"6722";13;76;71;441,913248;0,166849933614808
"106";0,162814148193911;"6722";13;71;66;411,774156;0,163048977058839
"107";0,158853344130828;"6722";13,3333333333333;90;84;523,9188;0,159167469617978
"108";0,155968858279146;"6722";13,3333333333333;65;60;376,65108;0,156362185934837
"109";0,15073448467683;"6722";13,5;95;89;553,50078;0,151131519585387
"110";0,156555522019704;"6722";13,5;52;47;299,065728;0,157207598503777
"111";0,159281128686875;"6722";13,8333333333333;93;88;543,399372;0,159967693220027
"112";0,169421616311467;"6722";13,8333333333333;54;50;312,09948;0,170189387835098
"113";0,183057633105281;"6722";14;94;90;550,810296;0,183785058837595
"114";0,198804823513805;"6722";14;52;47;299,586144;0,19969601644871
"115";0,234469188136478;"6722";14,3333333333333;85;80;494,8122;0,2354272286409
"116";0,232192140204255;"6722";14,3333333333333;54;49;311,559048;0,23312195194958
"117";0,23234130547562;"6722";14,5;81;75;470,986488;0,233022665682445
"118";0,216593444603721;"6722";14,5;67;64;391,146;0,216941854534666
"119";0,208176877956531;"6722";14,8333333333333;79;73;457,644156;0,208363160353524
"120";0,203258981691403;"6722";14,8333333333333;65;62;379,47;0,203357583281608
"121";0,177384801520545;"6722";15;87;82;507,760884;0,177489998343772
"122";0,151605631681383;"6722";15;57;52;330,103872;0,15157443444926
"123";0,13418987374888;"6722";15,3333333333333;74;70;432,382296;0,134107539698921
"124";0,107688834056227;"6722";15,3333333333333;51;46;294,33528;0,107535325662715
"125";0,101051299075048;"6722";15,5;77;73;448,113204;0,100915396151168
"126";0,0887065548521698;"6722";15,5;64;61;372,884736;0,0884763219277678
"127";0,0929728627136371;"6722";15,8333333333333;105;99;611,06346;0,092670450295306
"128";0,110729229636738;"6722";15,8333333333333;74;69;430,77768;0,110390061261699
"129";0,141516320434063;"6722";16;88;83;512,863296;0,14124496257048
"130";0,149412630516736;"6722";16;68;64;396,984;0,149035563589347
"131";0,15031975461332;"6722";16,3333333333333;78;73;453,152232;0,149934811039531
"132";0,141018493756937;"6722";16,3333333333333;57;53;331,910316;0,140676579488594
"133";0,137231377358385;"6722";16,5;84;75;481,705056;0,13688298936991
"134";0,138335866613843;"6722";16,5;54;50;314,081064;0,137959334138899
