timestep	day	time	daytime	6722	6715
1	day_1	10:08	day	0.17036983938803715	0.16577313370237048
2	day_1	10:23	day	0.2434895294611438	0.22690663856464444
3	day_1	10:38	day	0.3292680693962606	0.26361157756284614
4	day_1	10:53	day	0.3659707705566282	0.22043520053356727
5	day_1	11:08	day	0.4091963605377416	0.23807145361167487
6	day_1	11:23	day	0.37725896360731487	0.2205225353698359
7	day_1	11:38	day	0.28263844897762214	0.21873681830187205
8	day_1	11:53	day	0.3846925007181736	0.24784068138463686
9	day_1	12:08	day	0.3727548265577849	0.267664304355358
10	day_1	12:23	day	0.34337341484434347	0.23111758468618593
11	day_1	12:38	day	0.3182997796426904	0.2189478033749078
12	day_1	12:53	day	0.30418532840566176	0.21283791369305607
13	day_1	13:08	day	0.3274360179139168	0.2151708805976116
14	day_1	13:23	day	0.31194594825944855	0.21867033095444488
15	day_1	13:38	day	0.3630143446250237	0.21994560480224087
16	day_1	13:53	day	0.3163571438761857	0.22733793316880319
17	day_1	14:08	day	0.3584280210448188	0.2250418118321657
18	day_1	14:23	day	0.3548474907606158	0.26356817522842163
19	day_1	14:38	day	0.2738345322854019	0.23002422325083036
20	day_1	14:53	day	0.32748097813212196	0.1854423653704819
21	day_1	15:08	day	0.4091472704033062	0.29174231473353934
22	day_1	15:23	day	0.32130033410261427	0.24011208825451863
23	day_1	15:38	day	0.36373331675354914	0.24857912914026198
24	day_1	15:53	day	0.34747214957313816	0.22005936146200683
25	day_1	16:08	day	0.36455653967690915	0.2784544185686557
26	day_1	16:23	day	0.3537984006261804	0.24146923945841026
27	day_1	16:38	day	0.3998400483514417	0.23822417650903727
28	day_1	16:53	day	0.38274214531253287	0.312431333555653
29	day_1	17:08	day	0.35417844045641156	0.21650498573999483
30	day_1	17:23	day	0.34102372764393135	0.18737974500096893
31	day_1	17:38	day	0.3922578689540666	0.264265988341203
32	day_1	17:53	day	0.3559225121120786	0.15065558796767883
33	day_1	18:08	day	0.3701023244517005	0.2710594004135011
34	day_1	18:23	day	0.36667182260382364	0.20724786959244804
35	day_1	18:38	day	0.3827255971144132	0.3758390519308838
36	day_1	18:53	day	0.3469762866226681	0.21722808243844577
37	day_1	19:08	day	0.35607750215452083	0.24127038548653684
38	day_1	19:23	day	0.4345592977099292	0.2433505944373851
39	day_1	19:38	day	0.4044448464729006	0.2439297235776471
40	day_1	19:53	day	0.4062126315058994	0.2538945464149764
41	day_1	20:08	day	0.32007694769459694	0.2871720188354393
42	day_1	20:23	day	0.40889741258493706	0.2533214828252956
43	day_1	20:38	day	0.3837498649516689	0.2104791719869057
44	day_1	20:53	day	0.3855642593160452	0.2895637780830878
45	day_1	21:08	day	0.3807476613785728	0.2502088254518631
46	day_1	21:23	day	0.4313874822394052	0.2541763770292789
47	day_1	21:38	day	0.3657181547052391	0.25022527579537074
48	day_1	21:53	day	0.4627799260849265	0.2526522122056899
49	day_1	22:08	day	0.39229233723351636	0.26414950294135053
50	day_1	22:23	day	0.4110714316285571	0.26947860286799175
51	day_1	22:38	day	0.37077661359198266	0.12793029269656095
52	day_1	22:53	day	0.36629454080661245	0.25565994616151844
53	day_1	23:08	day	0.3745722561851431	0.21792752500498017
54	day_1	23:23	day	0.3615322718396534	0.23925992279062186
55	day_1	23:38	day	0.364644242273624	0.25511428682718557
56	day_1	23:53	day	0.41785880012265764	0.26439395782031544
57	day_1	00:08	day	0.3848728675177193	0.2548923088908152
58	day_1	00:23	day	0.4181417543372663	0.2402538572400407
