timestep	day	time	daytime	5073	5074	5057	7553	5054	7554
1	day_1	09:52	day	0.8257050629946316	0.4903090186544279	0.6744619014269335	0.30703834326169077	0.694836358200553	0.517957358615372
2	day_1	10:07	day	0.7657164573467031	0.506886178543027	0.6289601030551047	0.3074014918578457	0.6768927061678206	0.47372051483959077
3	day_1	10:22	day	0.73428706698689	0.452079823028731	0.6216424249369253	0.342958167029394	0.6681578596256285	0.5112482444355366
4	day_1	10:37	day	0.6722300952265319	0.4779265504965753	0.6246099710528421	0.3831595236546791	0.6482797969400871	0.45952064385840397
5	day_1	10:52	day	0.6090273464449718	0.45278681952672023	0.5567363146322659	0.2623520251287532	0.6843206482522827	0.46680798680979757
6	day_1	11:07	day	0.494547891621358	0.43100247359011623	0.5661804195210347	0.35063994852995006	0.5871182880726222	0.5096429629019427
7	day_1	11:22	day	0.5462392107081891	0.41345956486311325	0.5681046175329387	0.3570715173724908	0.5890671056570453	0.4550291784832984
8	day_1	11:37	day	0.4174054975631201	0.3474425024656537	0.5631912513475901	0.3135144277959853	0.5764965640513617	0.42830370362742826
9	day_1	11:52	day	0.46917768120700254	0.4330085943820683	0.6791948688890389	0.317420445375139	0.5502470972843574	0.4106948792250633
10	day_1	12:07	day	0.36948864099058565	0.38320588606960815	0.5344151021638032	0.23377432441512586	0.5044374200150507	0.32179658615004225
11	day_1	12:22	day	0.4174225537485703	0.34054902951895505	0.5361732260337196	0.3586440707573745	0.4681163451763715	0.3583726892003378
12	day_1	12:37	day	0.3788496652379693	0.3206924076906459	0.5806353562363589	0.3448004972859486	0.5059438885833974	0.3958982930750211
13	day_1	12:52	day	0.372056971760358	0.30734314344934693	0.5145126301983841	0.3163612946849213	0.5201342113140908	0.365
14	day_1	13:07	day	0.3719203102208132	0.3087879931384398	0.45945847106560744	0.3161714759319951	0.5522606510431787	0.3467795169002534
15	day_1	13:22	day	0.4168359920154834	0.20277587792121277	0.4567147965636952	0.2940981046482707	0.5193578503226418	0.40084141673562107
16	day_1	13:37	day	0.2791515802252095	0.43681260267292515	0.4604042911350393	0.2685762612073509	0.4919488175844231	0.4553634777415334
17	day_1	13:52	day	0.40318113485528123	0.4903750473875039	0.515483606675627	0.324555650070229	0.45003118334587555	0.40166859851647
18	day_1	14:07	day	0.31433154030262633	0.36414962533032	0.4919854882386215	0.31662860694899636	0.4306305388147876	0.36954911376794813
19	day_1	14:22	day	0.38188164010908415	0.30888123136279455	0.48981579655518503	0.3118633557986335	0.40184365668422584	0.41508322052768165
20	day_1	14:37	day	0.45804329853787207	0.3890147151740204	0.514707499087423	0.3170333922243521	0.37825226283604807	0.40827027370160474
21	day_1	14:52	day	0.36379386825547566	0.3066887604888101	0.5544043119328307	0.31212922855643205	0.44701829272411564	0.3429943314099665
22	day_1	15:07	day	0.3257152825688388	0.28021708040846977	0.4989386265821169	0.341420445375139	0.484552485432233	0.37327027370160476
23	day_1	15:22	day	0.3272813344681969	0.4449326712885273	0.47244404249539457	0.29814303474498166	0.5283969952892517	0.37870982275358966
24	day_1	15:37	day	0.2818029837371329	0.30832855464200365	0.44653067631004584	0.28152267225083405	0.523044737104697	0.40616785820287166
25	day_1	15:52	day	0.29082121470044753	0.3471666877277795	0.4606714692574738	0.26107646840982945	0.4954346239460071	0.39014937180557446
26	day_1	16:07	day	0.32259685199260857	0.3133848153812918	0.4441263435794237	0.32772712600222415	0.4784346239460071	0.3308200960433071
27	day_1	16:22	day	0.3361799600774169	0.3063161866914224	0.5158409945585789	0.347108203014353	0.43778688213056177	0.4017404183843964
28	day_1	16:37	day	0.28401940574117895	0.22012514216251175	0.4995883073997314	0.30981657179068894	0.4103010757689778	0.4092873429513936
29	day_1	16:52	day	0.3049567721474423	0.3293665793721127	0.5408626998072724	0.393849964015041	0.3854430121531378	0.40899858285249163
30	day_1	17:07	day	0.32775968519926085	0.3167366795793841	0.5550649285659577	0.3021805491967581	0.3745481730533351	0.4064203540809334
31	day_1	17:22	day	0.3165512745843222	0.4019033673071637	0.5876641717812017	0.37946537547185	0.43615506355658495	0.39732148145097135
32	day_1	17:37	day	0.3079943381666214	0.46867651890490597	0.583285161840722	0.32757770071362735	0.5196120560549404	0.39284566817814615
33	day_1	17:52	day	0.2915251736025291	0.2661129005786076	0.5571805027122004	0.3042557743917162	0.5645785032264178	0.35234640849174453
34	day_1	18:07	day	0.3945012101205216	0.3689757695655459	0.4829530551523297	0.32265375471849966	0.4817101085071964	0.4022269237432226
35	day_1	18:22	day	0.31791471907274904	0.2733017242507563	0.38499968803312856	0.30394023861342007	0.406823231028128	0.4262012881286952
36	day_1	18:37	day	0.43395111031406375	0.29179436666374603	0.4859708516904944	0.33312139850654043	0.39272067616124284	0.38647156183029996
37	day_1	18:52	day	0.3670205805190433	0.19922345393377605	0.5476063119158104	0.3453901502768919	0.5015008764302596	0.3506564892829605
38	day_1	19:07	day	0.34101947642649333	0.3315039631185286	0.5336532983590635	0.34323784597574214	0.4590873412774117	0.26108115828610734
39	day_1	19:22	day	0.35555707778832957	0.3293384490024686	0.49060271517215287	0.3699389953985487	0.501117008313433	0.4082112716409421
40	day_1	19:37	day	0.3937473281252681	0.313680418840096	0.6030468616565046	0.3479577526244369	0.4670337893791877	0.41030370362742824
41	day_1	19:52	day	0.454527381787629	0.30917918204503786	0.4945340650757891	0.3552681410739893	0.49138367808109523	0.3391963281124159
42	day_1	20:07	day	0.2635001060279716	0.400197544420894	0.4776171645401571	0.33629885057719355	0.5114660438425477	0.30638769620855244
43	day_1	20:22	day	0.30828375470924	0.28575399471019786	0.5540829538798281	0.3553089489432759	0.48592346292729965	0.43245236685924854
44	day_1	20:37	day	0.4239250093322706	0.5080259095128821	0.4753825858863458	0.37405317455155973	0.5500630298288126	0.40520270527620356
45	day_1	20:52	day	0.43254222978797935	0.3932097860047981	0.5134546247484528	0.3888330607003864	0.5823329222519148	0.372918260099515
46	day_1	21:07	day	0.43677909094043976	0.41397694317726547	0.4952596934660396	0.36319620929654134	0.5759546462731752	0.39025751937402936
47	day_1	21:22	day	0.36004343990850096	0.4015234991061043	0.5007471048632384	0.3972048681563472	0.5442105583510597	0.44853700453443857
48	day_1	21:37	day	0.36073593377319657	0.5305099575438036	0.5074004864134676	0.3969449715372067	0.5958047482682809	0.4200995812037163
49	day_1	21:52	day	0.41654457934370803	0.422826144235226	0.5221767187884201	0.39392931143742344	0.6023733469777139	0.326562640148966
50	day_1	22:07	day	0.39559243562240876	0.4546374469297544	0.5203427721326163	0.3308705751521629	0.6086404433317726	0.4587247662821159
51	day_1	22:22	day	0.5140138145931148	0.5057256116071995	0.5660070894983579	0.45057811511858453	0.5714017342545459	0.41597301071765247
52	day_1	22:37	day	0.4739397866473065	0.3832183803868664	0.5742236636360903	0.3833736613671944	0.6295892609161956	0.4246244765046454
53	day_1	22:52	day	0.5493075768206188	0.6200907646342385	0.5602128526073265	0.34134192676267083	0.5893793657021974	0.4187361669418712
54	day_1	23:07	day	0.47624839687516085	0.43599035837288924	0.5747146717769467	0.34943364086732637	0.6522550589050916	0.4145042831823693
55	day_1	23:22	day	0.45680989103369035	0.4509498600526639	0.5983211708728798	0.3654927915575441	0.6921182880726222	0.4839381636443206
56	day_1	23:37	day	0.5217061670871815	0.41323426917260636	0.6627797459274443	0.46960058016694	0.6376948484027893	0.41410673042094653
57	day_1	23:52	day	0.4066629392346239	0.40750136316173524	0.5414582422899017	0.31517313355182364	0.5914445284629921	0.43379516900253384
58	day_1	00:07	day	0.404508117417079	0.41610665341997843	0.5704799683363866	0.3451768413742909	0.6715840953645049	0.37537700412255126
59	day_1	00:22	day	0.48092721751737055	0.39082354427843263	0.5595954800892551	0.31618137800667245	0.6428083975101173	0.39725610222652097
60	day_1	00:37	day	0.5118565725345267	0.40352584632954347	0.5920973408544581	0.2820117559859109	0.5909875359646365	0.5861131075847342
61	day_1	00:52	day	0.48780989103369027	0.3863310282321199	0.5717543815417191	0.44178813060367544	0.6214197904279964	0.4527688882939406
62	day_1	01:07	day	0.560419170785606	0.4787611627471923	0.5388590822658235	0.36674093219077375	0.5964365668422579	0.4044118511958832
63	day_1	01:22	day	0.4920410196674578	0.45460671660331703	0.5463753716012393	0.3208839669357553	0.6067720486125512	0.450383381286339
64	day_1	01:37	day	0.4048281219970049	0.4085810598237892	0.5380287531514685	0.3040521494502404	0.6000843086577031	0.45009320403992864
65	day_1	01:52	day	0.43214363952141654	0.5785025367734549	0.5143537495437116	0.34172341817975693	0.5997660298880676	0.4477091141798354
66	day_1	02:07	day	0.5480774815940869	0.46684203302096594	0.5392707540683006	0.28749959650611634	0.5892546323186951	0.428337842127006
67	day_1	02:22	day	0.49362074478930174	0.4385001895500156	0.5165090126569352	0.34971929595233253	0.6085277473972374	0.45693101442709044
68	day_1	02:37	day	0.41226890670888977	0.40451243113391977	0.4663897585758694	0.39538375973327683	0.5846217240212604	0.4518072782360434
69	day_1	02:52	day	0.4131094564652018	0.4409400920588761	0.5551297739407499	0.35300824445484874	0.5684602151537955	0.44550003173984415
70	day_1	03:07	day	0.5783554330993196	0.4470332039165537	0.5496316555037443	0.33913891251755723	0.49724430121531377	0.4485377131081928
71	day_1	03:22	day	0.5702004699111457	0.4785675182614883	0.5389962576718025	0.3539921699501084	0.444397421875648	0.4287411269581506
72	day_1	03:37	day	0.36236116561801246	0.4310442718887383	0.5313392585801244	0.3669633143581378	0.5082662431812659	0.4324374233307223
73	day_1	03:52	day	0.5005808998997083	0.4767917667069528	0.5675630885985461	0.34604307618547736	0.5981038811410081	0.4032411586979947
74	day_1	04:07	day	0.46571984030966745	0.44600129997839666	0.508393417712901	0.334102226875695	0.6298651720637813	0.40435851772525405
75	day_1	04:22	day	0.3925251029172147	0.4633639794153193	0.5429204556837066	0.33255935789269625	0.6036856070228658	0.4680960383349454
76	day_1	04:37	day	0.4334932694167287	0.39932478107349073	0.5126460840739571	0.38382564505545197	0.5972142075928961	0.46552347815342066
77	day_1	04:52	day	0.42011518898389477	0.4429363184903631	0.5531263019838408	0.37388994307441337	0.6045985022961192	0.4398392910143585
78	day_1	05:07	day	0.4982392813935036	0.369580933457112	0.5524729204336117	0.3659000414404957	0.6702754845611893	0.4262532044518159
79	day_1	05:22	day	0.5751970869481815	0.3779548072328964	0.519483752260167	0.34677761783263594	0.6361219373144587	0.39358396084128
80	day_1	05:37	day	0.4022711855793041	0.5367378531911037	0.4551370714170219	0.30647588824288946	0.5668124733383502	0.40843033759318037
81	day_1	05:52	day	0.5431173264836803	0.39093032406508815	0.5077327178886083	0.4473066806270851	0.5163974218756481	0.42245449258051115
82	day_1	06:07	day	0.34739762754464165	0.3880148415406975	0.4301912097520072	0.24996084975054197	0.4788948390998026	0.39985281739537637
83	day_1	06:22	day	0.5859579469253068	0.3936005958113649	0.5007218028708873	0.4052429933044859	0.44311226934813874	0.44352991879689674
84	day_1	06:37	day	0.49607644818685137	0.3582709939243188	0.5197977296457318	0.3586694148182829	0.6149227997902382	0.49191040230853067
85	day_1	06:52	day	0.47495684283275674	0.4552622731755734	0.528288737786588	0.3391714759319951	0.5105133404656232	0.5032503701567992
86	day_1	07:07	day	0.5217313053470535	0.36621083324984066	0.5371588182612983	0.31628236166749607	0.6063969952892516	0.43999433140996647
87	day_1	07:22	day	0.48656273962170815	0.3546508621253781	0.5243898833626179	0.3627133198136745	0.5593993647718987	0.4130839291014358
88	day_1	07:37	day	0.4852836840239256	0.37413621013469633	0.4999747188054404	0.36294580034712093	0.5749303348245761	0.454711239901098
89	day_1	07:52	day	0.5024419594897493	0.4177132436566183	0.47833210668839227	0.3536193373928282	0.5680591440363111	0.35921268878845053
90	day_1	08:07	day	0.4877084459575959	0.3806176582088245	0.494451256780501	0.27653628214797854	0.5724174209453493	0.42877739117899083
91	day_1	08:22	day	0.43879386825547567	0.3320944118360743	0.46296748372254254	0.36004761281785885	0.5500195724833048	0.40247368755156254
92	day_1	08:37	day	0.479113943520716	0.39414715174020376	0.48378691861696793	0.4142471155319103	0.49257850322641783	0.4846422543281884
93	day_1	08:52	day	0.4748496652379693	0.40110300621814265	0.5767183309139784	0.35706327291764206	0.5806701103677938	0.3964509497117402
94	day_1	09:07	day	0.41402050983372884	0.4040208359659725	0.5216678517160249	0.3405877990797097	0.579510970982976	0.41159317230008446
95	day_1	09:22	day	0.34557751693674404	0.3655845806589479	0.5008158797463507	0.3337817400600603	0.4985765603301671	0.33356547444398277
96	day_1	09:37	day	0.4067472574399537	0.32555762390102333	0.49019854882386216	0.30262716744271984	0.45748860243062756	0.4534694361090374
97	day_2	09:52	day	0.407596922677923	0.3554608648415099	0.4774801347187181	0.3462104298900481	0.4202526894224444	0.41498151360270275
98	day_2	10:07	day	0.47384856114541934	0.345203538846169	0.4639024511676277	0.3358143034744982	0.5211666744191555	0.4225931723000845
99	day_2	10:22	day	0.4632562668936394	0.42648040082908567	0.5183754339946136	0.32325721389799267	0.48470645926536005	0.40918492745266055
100	day_2	10:37	day	0.40493508753584906	0.3760416719319449	0.4891191292943173	0.3197450544181981	0.5373574237362454	0.4037724311627115
101	day_2	10:52	day	0.38823465296736054	0.36195220727610306	0.482761720613574	0.25534378067390445	0.5165481730533351	0.3835583252267526
102	day_2	11:07	day	0.43501602277821466	0.36348652162103773	0.48316967088564505	0.35375144496181327	0.45463892702191827	0.37050782605114024
103	day_2	11:22	day	0.45404101966745775	0.32350371038517434	0.46730684629162406	0.3268816986195646	0.4309911852064729	0.3467710140152031
104	day_2	11:37	day	0.41284738636755497	0.3887917667069527	0.44745847106560743	0.3205286483894921	0.43400838820713067	0.3727973582034847
105	day_2	11:52	day	0.39435080467317646	0.4339216033163428	0.4224295515318075	0.3188633557986335	0.44177484468159467	0.39361313932457836
106	day_2	12:07	day	0.3757061670871816	0.3637340796225908	0.500238133801886	0.2976694148182829	0.4920662524842525	0.4257439612531673
107	day_2	12:22	day	0.35208093524236556	0.3597856459150006	0.4842923345302456	0.24595775262443692	0.5026176481930276	0.4038975845012669
108	day_2	12:37	day	0.42586907097914817	0.33173550596766455	0.5076750244055485	0.35182893847296204	0.5296129092277334	0.39603272135206935
109	day_2	12:52	day	0.4144521790639565	0.41006498148803355	0.5575090126569351	0.2856317040751013	0.5562062459721618	0.376982222176457
110	day_2	13:07	day	0.3936742629013811	0.3994387288971408	0.4769963824585511	0.3598225479293469	0.5720279606904356	0.369404701978653
111	day_2	13:22	day	0.3647551274584322	0.3559938792080479	0.4703501735978454	0.32780008288099144	0.5227440879221156	0.32685281739537636
112	day_2	13:37	day	0.3391469517990664	0.3554387288971408	0.4694079294742796	0.31682254792934694	0.45419591486878047	0.5156066986811024
113	day_2	13:52	day	0.5583189711726904	0.3482267220355806	0.46697465641206615	0.28702658727577984	0.5309395762044995	0.3719295972795821
114	day_2	14:07	day	0.4661845178182455	0.33207969666205395	0.5160613318223003	0.3069000414404957	0.5057800102332854	0.4045078260511402
115	day_2	14:22	day	0.40093280866543474	0.33722672203558063	0.4974332106688392	0.31981842570192254	0.48445613932556275	0.39528805152514784
116	day_2	14:37	day	0.40651253378727875	0.3315073575870102	0.45883392585801247	0.2967941067423334	0.5231126959345351	0.39979658615004227
117	day_2	14:52	day	0.38508431820532985	0.30499387920804794	0.47079421609324	0.2694758882428895	0.48463613095287467	0.3713897584501267
118	day_2	15:07	day	0.5456094211225446	0.32990441455220615	0.45958843218648	0.4621640602870607	0.45898279699934225	0.40086415457544344
119	day_2	15:22	day	0.48488840603501276	0.28216551411605995	0.47453782820177803	0.37599216995010837	0.42611634517637154	0.417672141385241
120	day_2	15:37	day	0.44585194410838364	0.3473052450859149	0.5429819122927554	0.3317102226875695	0.396025164621392	0.4296216422096286
121	day_2	15:52	day	0.41258656173308694	0.3837034756628304	0.5065017983718287	0.30958779907970974	0.45363807384912536	0.4052532044518159
122	day_2	16:07	day	0.3595148126576931	0.36089829376025406	0.4958808499078913	0.30807151737249083	0.4865333395353245	0.38199929142624584
123	day_2	16:22	day	0.3514248326189846	0.33331618669142243	0.47087001808133594	0.30595321599205544	0.45482645368356805	0.3774573268755279
124	day_2	16:37	day	0.3091321744840305	0.32995468086621926	0.4651805027122004	0.27976978778274436	0.43987763609914493	0.36818138458388955
125	day_2	16:52	day	0.5919955129444858	0.3140355511399928	0.41429954881535197	0.33561480076044675	0.40349419456871466	0.4308421253093752
126	day_2	17:07	day	0.48277107955133247	0.2740490927022936	0.5048554647243746	0.3603388296365658	0.40569247892014226	0.46730441220118246
127	day_2	17:22	day	0.40251253378727875	0.36754056150356385	0.5176714068640995	0.3266776592731317	0.5139503338942774	0.3699132366035474
128	day_2	17:37	day	0.3799464818879207	0.35855527667758424	0.5116930705172102	0.4186780736780888	0.5548400074423894	0.3854231883759502
129	day_2	17:52	day	0.5464715848051354	0.4150907646342385	0.5572165741377324	0.3869697049017529	0.5006636650569138	0.3887788083264992
130	day_2	18:07	day	0.46953193952845773	0.5258775841609588	0.5229566726937787	0.3522347488496372	0.5336589260916196	0.46479375185502547
131	day_2	18:22	day	0.31747966687955714	0.3981459781284842	0.4150286907580943	0.4018192545118368	0.483255485491488	0.4528883730424625
132	day_2	18:37	day	0.4158315756452836	0.4562855827316621	0.4980755940101817	0.32521125869996237	0.49082280444173165	0.4557482761753807
133	day_2	18:52	day	0.3921676030034241	0.41676103638051526	0.5545919249411804	0.39211913019034966	0.5121294723487965	0.4379630272054056
134	day_2	19:07	day	0.4078099617190047	0.30963979415319354	0.5993211708728798	0.38890457807287726	0.48441334511711653	0.4978727209401819
135	day_2	19:22	day	0.5052563375789537	0.3763163130580995	0.5496641717812016	0.3745511134378475	0.5328004358893831	0.4809310144270904
136	day_2	19:37	day	0.6422050276519744	0.3899327976552044	0.4694041663482907	0.41501504940342104	0.5056617221606632	0.44006119126161347
137	day_2	19:52	day	0.4153771177109128	0.377476879993927	0.5072453480869924	0.3513887107706154	0.5127484003010134	0.4868790981039697
138	day_2	20:07	day	0.5189203102208133	0.4985761126435566	0.5334258923947757	0.39930626622212795	0.599726031748665	0.37309674690869954
139	day_2	20:22	day	0.38149554828714294	0.36172079079364416	0.5028121166203617	0.3741071779130337	0.5471154920035787	0.4237333326468545
140	day_2	20:37	day	0.5160763775015369	0.41020848602640153	0.5088483128326424	0.46133965844648006	0.5311494714184978	0.4646863763400131
141	day_2	20:52	day	0.519552520047501	0.48411160060021097	0.5173428969193649	0.4258128639682217	0.6395780766400214	0.5313186471559546
142	day_2	21:07	day	0.5820091861669717	0.46142648731323666	0.5434584294700245	0.408573578486203	0.593353774494409	0.5050960383349454
143	day_2	21:22	day	0.5451629038919666	0.4342232012004219	0.5097507847980615	0.4375983118507492	0.6310619401053548	0.5383506599342697
144	day_2	21:37	day	0.48775064040291805	0.3456852396536514	0.5449492712285494	0.37354967393157107	0.5695245247417974	0.41600431492221346
145	day_2	21:52	day	0.4828394456637621	0.5039841112142601	0.5352092766614603	0.378038953958053	0.5964486042912249	0.4723706269587636
146	day_2	22:07	day	0.46176666318113263	0.43230654506431165	0.5074763923905206	0.3750393683630101	0.5788675415464286	0.5475718516077704
147	day_2	22:22	day	0.47956508917743695	0.5212402635978813	0.5007398697803405	0.4442805077562625	0.5861978577650312	0.5211166504535052
148	day_2	22:37	day	0.45259015675199443	0.3769829376025405	0.5338013679849721	0.4090498811340496	0.5738367847869494	0.46081294682607693
149	day_2	22:52	day	0.6546174325116519	0.39664474133342603	0.4801911889542157	0.3655051582398172	0.5803737735641102	0.47794808367687924
150	day_2	23:07	day	0.47496029648103544	0.5550332039165536	0.561404228741665	0.3990008288099143	0.6556529073671361	0.36620914591967957
151	day_2	23:22	day	0.512125408558102	0.4251901236505453	0.5040756772013474	0.48014983969355385	0.5710111842761741	0.41855478235798166
152	day_2	23:37	day	0.5962232586152889	0.5001066534199785	0.48138256508855437	0.4182471155319103	0.545	0.508214105935959
153	day_2	23:52	day	0.5351390110952735	0.4447758779212128	0.5613861618322118	0.3785960435345585	0.5101759157990792	0.4566600321517315
154	day_2	00:07	day	0.48674718675463935	0.4653664530054356	0.47379760485898326	0.32413520469509005	0.5946780719885281	0.42772122341334495
155	day_2	00:22	day	0.28981341536728344	0.40450995754380353	0.4897182061272298	0.3842052825613044	0.6431154920035788	0.39507117477386045
156	day_2	00:37	day	0.49112996629893063	0.4548787577726783	0.5360792531472135	0.4699297258423806	0.632789251613209	0.4951586467440672
157	day_2	00:52	day	0.5058475277381838	0.47333467543395574	0.5222633734008628	0.3482951427547263	0.5794821571197476	0.5020277613357901
158	day_2	01:07	day	0.5461846591888743	0.429359158601764	0.47472184446647014	0.37877247050389223	0.6249544097225103	0.46045732687552793
159	day_2	01:22	day	0.5682005405964602	0.41094009205887605	0.5771478824457859	0.42492662871627557	0.5814602151537955	0.527827181780849
160	day_2	01:37	day	0.4857074832356748	0.4371643405043404	0.524241751343335	0.3453777835946188	0.42793678013545605	0.4290740090688772
161	day_2	01:52	day	0.6091446729286522	0.44838364176957224	0.5499998752132514	0.29819106196779765	0.6178236576145244	0.3992696286075389
162	day_2	02:07	day	0.5362653823752968	0.4471483253519233	0.5310648869703749	0.23896724029415706	0.5981331215906329	0.5130078577909843
163	day_2	02:22	day	0.4311959121703171	0.3999007673503703	0.5385883697931058	0.41600412222742433	0.5944118288072622	0.47312592539199794
164	day_2	02:37	day	0.3726036886038515	0.4070699286682661	0.5419602486396446	0.3509674365855621	0.6039911852064729	0.47228380008262266
165	day_2	02:52	day	0.5000263130377363	0.3949058408972799	0.5094007151891732	0.34292662871627555	0.570741291853072	0.3417091776595237
166	day_2	03:07	day	0.47788391897949845	0.5065625710812559	0.49990251356100196	0.3163369757253322	0.4983462394600711	0.43019207666989073
167	day_2	03:22	day	0.5722027487815601	0.451041798298622	0.48884475768456775	0.29429843617223633	0.5762154873520853	0.47992888870582784
168	day_2	03:37	day	0.4889396452766777	0.44074032678122	0.4319890017911133	0.4129214813875319	0.6170959195202739	0.434066859851647
169	day_2	03:52	day	0.4226253025301304	0.386159519690785	0.49846915730762276	0.3589783637615588	0.6416784985749245	0.42708392910143583
170	day_2	04:07	day	0.40543850584147056	0.4703897625615243	0.5006027567677357	0.39426958058026573	0.5964090327382187	0.3644573268755279
171	day_2	04:22	day	0.3004078471188489	0.4463125394895866	0.5279169005356319	0.35652864838949205	0.6382754845611893	0.3731472460843119
172	day_2	04:37	day	0.5334090218967132	0.5544180192978455	0.5051876546039326	0.35310222687569504	0.504	0.35372334913460757
173	day_2	04:52	day	0.5435547989179154	0.4585367879350509	0.5507760659926211	0.28308429845972105	0.5587324770595449	0.48415078895308283
174	day_2	05:07	day	0.6019624339808209	0.38999387920804796	0.5094079086764882	0.33943137255113565	0.5904630112228391	0.38540611912616135
175	day_2	05:22	day	0.5245216492689361	0.36608334386388974	0.428570323681444	0.3749697049017529	0.5851363442460729	0.4259772621601776
176	day_2	05:37	day	0.36650121012052156	0.3702267220355806	0.4429023055830877	0.3322021854351993	0.5261903227306933	0.4812354266282729
177	day_2	05:52	day	0.45297507379607127	0.3004363816737017	0.442956443918073	0.39233739013028934	0.5936668877123538	0.43288122382523225
178	day_2	06:07	day	0.40446261069410694	0.5640601606744782	0.3727108670553748	0.30557894392849877	0.5942378559044338	0.40392959727958205
179	day_2	06:22	day	0.5242518505234396	0.3665063103419677	0.5172525415743074	0.3883845885431911	0.5789535565497174	0.43553842168194695
180	day_2	06:37	day	0.5451287915210663	0.4302549787719018	0.5340648661725834	0.3726597308571577	0.6288288231662151	0.46484212530937524
181	day_2	06:52	day	0.5987221191800818	0.43364461496674894	0.5122526039676817	0.34760058016693995	0.6341447324532036	0.41990756801351387
182	day_2	07:07	day	0.5260091154816573	0.3513848153812918	0.5126533607524378	0.3541714759319951	0.5926049476069991	0.382489339653843
183	day_2	07:22	day	0.4143781511181483	0.33193996569219897	0.5438194764900083	0.3227959606535671	0.5842298942836995	0.36737198062658366
184	day_2	07:37	day	0.42593280866543476	0.29366427732100187	0.5152743508119582	0.3312512377593346	0.6191643049365084	0.362422479802196
185	day_2	07:52	day	0.38315268431775945	0.3031864764487095	0.5357363978234315	0.3205579183864198	0.6211098998654916	0.42673970981064213
186	day_2	08:07	day	0.5819021499428131	0.34583591222901383	0.4695920289301375	0.4180127810872302	0.6234713994299698	0.3589310144270904
187	day_2	08:22	day	0.5577152825688387	0.3499842375809371	0.47645115279154393	0.3436106785330224	0.6014090327382187	0.362778099752745
188	day_2	08:37	day	0.47900911548165725	0.36482966507038467	0.5207544855306762	0.3203429518639902	0.6216761290922773	0.38431723000844614
189	day_2	08:52	day	0.4125911194739156	0.34539093617324385	0.4971588390590897	0.3366918798666384	0.4901898961442969	0.3974161026384083
190	day_2	09:07	day	0.397006836611243	0.33911030062181424	0.487310463833073	0.3236735370457073	0.579232690352743	0.3908982930750211
191	day_2	09:22	day	0.3490102902595217	0.32831618669142243	0.46836100542440073	0.3497817400600603	0.6235169897074596	0.4014914653751056
192	day_2	09:37	day	0.45765727740124523	0.4068015347007406	0.46001079023097247	0.31253916116053154	0.58	0.36298293075021115
193	day_3	09:52	day	0.5063963820814629	0.3783161866914224	0.48088802259741487	0.41873722436830646	0.5214090327382187	0.3874914653751056
194	day_3	10:07	day	0.4490113943520716	0.3264804008290857	0.5121876961995154	0.3675777007136274	0.5681131225209316	0.37150640890363185
195	day_3	10:22	day	0.39718679668865986	0.33764461496674897	0.4979061311024509	0.30348186438154745	0.6187612909227733	0.39472689200337846
196	day_3	10:37	day	0.3299772819811712	0.2954939423913865	0.4874295931273903	0.2783538790399869	0.5608920430307591	0.4097283091508868
197	day_3	10:52	day	0.4807904852925114	0.3521483253519233	0.4804656853507138	0.42314344914993873	0.5604090327382186	0.41757397732903306
198	day_3	11:07	day	0.4945888406035013	0.36332230748337446	0.4699061311024509	0.32894084930978235	0.5169427988599397	0.38070273701604773
